Номер;Рецепт
1;абрикосы для компота нужно отобрать плотные  без повреждений и гнили  но спелые  незрелые фрукты могут сделать напиток горьким  фрукты тщательно моем  но осторожно  чтобы не повредить кожицу  абрикосы откидываем на дуршлаг  даем воде с абрикосов стечь  банки для заготовки лучше взять трехлитровые  банки и крышки хорошо моем с содой  банки стерилизуем одним из привычных и надежных способов  например  в духовом шкафу  влажные банки ставим в холодную духовку на решетку горлышком  включаем на  градусов  держим банки в духовке  минут  крышки кипятим и просушиваем  банки наполняем абрикосами так  чтобы они превышали весь объем емкости на одну треть   в чайнике кипятим воду  заливаем кипятком абрикосы в банках  вливать кипяток в банки нужно небольшими частями  например  поварешкой  чтобы банка не лопнула от резкого перепада температуры  накрываем банки крышками  оставляем на  минут  затем воду из банок сливаем в кастрюлю  лучше воспользоваться специальной крышкой с дырочками  чтобы абрикосы не выпали из банки  всыпаем в кастрюлю с водой сахар  по желанию количество сахара можно увеличить  чтобы быть уверенным  что заготовка не испортится и долго будет храниться  а готовый компот перед подачей просто разводить кипяченной холодной водой  доводим сироп до кипения  помешивая ложкой  чтобы сахар полностью растворился  заливаем кипящим сиропом абрикосы в банках  до плечиков банок  сразу закатываем крышками банки  переворачиваем банки вверх дном  укутываем теплым одеялом и оставляем на ночь до полного остывания при комнатной температуре  убираем банки с компотом на хранение в прохладную кладовку до зимы   приятного аппетита  
2;приготовим ингредиенты по списку  остановимся на одном из простых и популярных рецептов приготовления ягодного вина  черную смородину для приготовления такого напитка желательно использовать сладких сортов  но поскольку в любом случае это ягода достаточно кислая добавление сахара обязательно  ягоды можно использовать свежие или замороженные  н предварительно не мытые перед заморозкой  ягоды черной смородины тщательно перебираем  убираем листочки  мусор и порченные ягоды  но не моем  ни в коем случае нельзя допустить проникновения микробов в заготовку вина  но нужно сохранить природные винные дрожжи  имеющиеся на поверхности кожицы ягод  именно благодаря им начнется брожжение и получение готового вина  ягоды нужно измельчить блендером  ручной толкушкой или перекрутить через мясорубку  давленные ягоды перекладываем в стеклянную посуду  ни в коем случае для приготовления вина нельзя использовать пластиковую или металлическую емкость  иначе сок  сусло или готовое вино может впитать в себя запах этой посуды  или произойдет окисление  в теплой кипяченной воде растворяем половину сахара и заливаем этим сиропом ягоды так чтобы содержимое не превышало две трети части всего объема емкости  потому что начнется активное брожение  затягиваем горлышко марлей или надеваем резиновую перчатку  в одном пальце которой делаем небольшое отверстие  оставляем заготовку в темном месте комнатной температуры на четыре дня в среднем  лучше подольше дать бродить суслу  чтобы мезга отдала весь сок  за это время один раз в день нужно перемешивать содержимое емкости лопаткой  чтобы ускорить брожение   затем забродившее сусло отфильтровываем от ягодной мезги  процеживаем его через марлю  мезгу выбрасываем  сусло снова сливаем в банку  на банку надеваем резиновую перчатку или устанавливаем при наличии гидрозатвор  на этом этапе можно попробовать сусло на вкус и при необходимости добавить немного из оставшегося сахара  растворив его в жидкости  перемешивая лопаткой  ставим емкость с заготовкой вина в темное место с температурой от  до  градусов  оставляем на   недели  раз в неделю проверяем состояние напитка и каждый раз добавляем по частям оставшийся весь сахар  когда брожение полностью закончится  напиток сливаем с осадка  процеживаем через марлю  сложенную в несколько слоев  и разливаем по стеклянным бутылкам  бутылки закрываем и убираем в темное прохладное место для тихого брожения  например  в погреб  выдерживаем вино около   месяцев  за это время раз в три четыре недели вино нужно процеживать с осадка  по вкусу можно еще добавлять сахар для приготовления  например  десертного напитка  вино из черной смородины готово  хранить такой напиток в прохладном месте можно около    лет   приятного аппетита  
3;красную смородину для приготовления вина можно использовать как свежую  так и замороженную  предварительно разморозив  некоторые виноделы рекомендуют смородины не мыть и даже не отделять от кисточек  полагая  что на ягодах содержатся винные бактерии  необходимые для брожения  это  действительно  так  но с порченными ягодами и зеленью в сусло можно занести и болезнетворные микробы  которые вместо брожения  образуют плесень и порчу продукта  поэтому ягоды нужно тщательно перебрать  удалить весь мусор  листья  веточки и гнилые ягодки  ягоды кладем в глубокую посуду  нельзя использовать для приготовления основы для вина металлическую посуду  в которой может произойти окисление ягодного сока  хорошо подойдет керамическая  стеклянная емкость  если ягод немного  то их можно перетереть ручным толчком  большое количество ягод можно измельчить с помощью электрического прибора с подходящими функциональными возможностями  ягодную массу кладем в стеклянную банку  добавляем сахар и заливаем холодной кипяченой водой  банку закрываем капроновой крышкой и оставляем для брожения при комнатной температуре  удобно поставить банку в закрытый шкафчик на кухне  чтобы периодически проверять состояние ягодной заготовки  перемешивать содержимое банки для лучшего брожения  затем процеживаем жидкость  ягодный жмых нам больше не нужен  банку с суслом закрываем гидрозатвором или натягиваем на горловину банки чистую резиновую тонкую перчатку  в одном из пальцев которой делаем маленькую дырочку  для выхода газов во время брожения  оставляем еще на две недели  через указанное время заготовку вина снова процеживаем через марлю  сложенную в несколько слоев  и еще оставляем на две недели при комнатной температуре  на поверхности жидкости должна образовать небольшая пенка  значит  брожение еще длится  снова нужно процедить  повторяем процедуру  пока брожение  образование пены на поверхности  не прекратится  затем добавляем в вино по вкусу сахар  можно добавить еще какие либо пряности для аромата  перемешиваем  чтобы сахар растворился  оставляем еще на неделю при комнатной температуре под гидрозатвором  разливаем вино по бутылкам  закупориваем их и убираем на хранение в холодильник или погреб  а можно сразу подавать к столу  хранить такое вино в прохладном месте можно около  лет  
4;отрываем хвостики и моем клубнику  ставим кипятить воду  стерилизуем банки и стерилизуем крышки как только вода закипела  в ней бланшируем клубнику  опускаем на   сек   раза  и раскладываем в стерильные банки в воду  где бланшировали клубнику  засыпаем сахар и снова доводим до кипения заливаем банки с клубникой кипятком закрываем крышкой и закрываем переворачиваем банки  как только остынут  можно убирать в погреб или кладовку 
5;приготовим ингредиенты по списку  в сезон сбора  когда черешня дешевая  этот напиток получается не только вкусным и полезным  но и бюджетным  существуют разные рецепты компота из черешни на зиму  самый простой и приятный на вкус получается компот из черешни с косточками  черешню для приготовления компота можно использовать любого сорта  главное  чтобы ягоды были хорошо спелыми и сладкими  но не перезревшими и лопнувшими  иначе напиток может начать бродить  черешню моем  перебираем  удаляем порченные  помятые и гнилые ягодки  веточки  листочки  черешню тщательно промываем и откидываем на дуршлаг  чтобы вода полностью стекла  ягоды черешни кладем в заранее подготовленные  промытые и простерилизованные банки   банки должны быть заполнены черешней примерно на треть всей емкости   в чайнике кипятим воду и заливаем кипятком черешню в банках до самого горлышка  горячую воду нужно вливать в банки тонкой струйкой и стараться попасть в центр  чтобы стекло не лопнуло от резкого нагрева  банки накрываем стерильными крышками и оставляем на  минут  в эмалированную кастрюлю кладем сахар и лимонную кислоту  лимонную кислоту можно не добавлять  но она придает напитку какой то особенно приятный привкус  делает цвет и аромат компота более ярким  в кастрюлю сливаем воду из банок с черешней  ставим на огонь  доводим сироп до кипения  помешивая ложкой  чтобы сахар полностью растворился  заливаем кипящим сиропом черешню в банках  сразу закатываем банки крышками  переворачиваем вверх дном  укутываем теплым полотенцем и оставляем при комнатной температуре до полного остывания  после чего убираем компот на хранение в прохладное место   приятного аппетита  
6;как и всегда рецепт приготовления домашнего вина из крыжовника очень простой  для изготовления вина используются крупные плоды крыжовника желтого цвета  либо специальные винные сорта с ягодами красного цвета  сладкими на вкус  по вкусу и аромату домашнее вино из крыжовника очень сильно напоминает вино из винограда  домашнее вино из крыжовника  это высокое качество напитка с приятным ароматом и вкусом  смешивать ягоды крыжовника с другими при изготовлении вина не рекомендуется  ягоды крыжовника собирают  перебирают  моют и измельчают  подготовленные таким образом ягоды выстаивают   дня  по истечении времени выдавливают сок  который необходимо отстаивать  остатки от ягод заливают двумя литрами воды и под прессом получают дополнительный сок  подготовленную емкость для брожения ополаскивают коньяком  заливают оба сока крыжовника и добавляют сахар  процесс брожения занимает около   месяцев  в течение всего этого срока следует подливать  мл ледяной воды каждые   дня  когда процесс брожения завершится  бутылку закрывают водяным запором  домашнее вино из крыжовника окончательно будет готова через  месяцев  
7;приготовим ингредиенты для компота  их всего два  малина и сахар  малину нужно брать хорошо спелую  но твердую и плотную  не перезревшую и мягкую  малину перебираем  удаляем мусор  порченные и червивые ягоды  малину промываем холодной проточной водой  откидываем ее на дуршлаг  чтобы вода стекла  стерилизуем банки для компота  банки лучше брать небольшого объема  чтобы после вскрытия компот быстро был выпит  банки моем холодной водой с содой  крышки кипятим  банки ставим в духовой шкаф горлышком вниз  включаем духовку на  градусов и стерилизуем их около  минут  объем банок  л   в чайнике кипятим чистую фильтрованную воду   в подготовленные банки кладем малину  добавляем сахар  если кому то кажется  что готовый компот получается не достаточно сладким  то можно увеличить количество сахара по вкусу  некоторые хозяйки добавляют в компот лимонную кислоту  чтобы его цвет был ярким  но малина содержит большое количество витамина с и дополнительная кислота не улучшит его вкус и не сделает полезнее  поэтому лучше ее не добавлять  конечно  он будет не насыщенного яркого цвета  но зато без добавок  заливаем содержимое банок кипятком  до плечиков банки  сразу закатываем простерилизованными крышками  банку кладем на бок и начинаем катать  чтобы сахар растворился  но нужно быть предельно осторожным  делать это с помощью прихваток  поскольку банки сильно нагреваются  чтобы не уронить их на пол    банки с компотом переворачиваем вверх дном  укрываем теплым одеялом и даем остыть при комнатной температуре  компот из малины на зиму готов  его можно хранить при комнатной температуре и в прохладном месте   приятного аппетита  
8;для приготовления компота из апельсинов на зиму возьмите простой набор продуктов  апельсины  сахар и воду  по желанию и вкусу можн одобавить лимонный сок и что нибудь из ароматных специй  я взяла несколько звездочек гвоздики  апельсины нужно  прежде всего  хорошо помыть со щеткой  кожура нам особо не пригодится  но для более синого аромата мы немного проварим апельсиновые корки  нарезать апельсины на кружки или дольки   как вам легче будет их очистить  снять нужно всю кожуру вместе с белой частью  белые перемычки вырезать лучше везде  где они могут быть извлечены  нам нужно чистое  филе  апельсина  как говорят именитые повара  простерилизуйте банки и крышки  вскипятите воду  на дно стерильной банки сложите очищенные и нарезанные кусочками апельсины  наполняйте на     это оптимально для получения ароматного цельного напитка  залейте наполненные банки кипятком  прикройте стерильными крышками  дайте минуты  постоять  всыпьте в кастрюлю сахар  и слейте воду из банок с апельсинами  туда же отправьте апельсиновые корки и доведите до кипения   кипятите не больше полминутки   если не любите апельсиновую горчинку  просто есть любители компота и сока из апельсинов именно с присущей этому фрукту горчинкой   затем корки выловите шумовкой  залейте ктпящим апельсиновым сиропом апельсины в банках  добавьте перед этим гвоздичку на дно по желанию   сразу банки закатайте крышками  переверните и отправьте до полного остывания  под шубу   вот и все  ароматный компот из апельсинов на зиму готов  хранить его после остывания можно в комнатных условиях  
9;для приготовления наливки на смородине понадобится  водка  сахар  свежая мята или мелисса  черная смородина и лимонный сок  если в наличии имеется свежая смородина   это прекрасно  но и из замороженной получится не менее вкусная наливка  единственное отличие состоит в том  что замороженные ягоды придется заранее разморозить  итак  для начала любую смородину  будь то свежая или размороженная  стоит промыть и перебрать на предмет наличия растительного мусора  веточек и листочков  затем размять ягоды толкушкой  с лимона срезать цедру и добавить к смородине  цедру нужно срезать очень аккуратно  чтобы не зацепить слишком много белой мякоти  так как она горькая и сможет испортить весь напиток  добавить сахар  переложить смородину в бутыль  в которой планируется готовить наливку  осталось залить всё водкой и взболтать напиток  чтобы сахар растворился  для придания свежести будущему напитку я добавила несколько листиков свежей мяты  наливку прикрыть и оставить в темном месте на срок от пяти до двадцати дней  после чего наливку профильтровать и она готова к употреблению  
10;подготовьте ингредиенты  лайм и лимон следует тщательно вымыть и обсушить  свежую мяту также помойте холодной проточной водой и обсушите бумажными полотенцами  лайм и лимон нарежьте тонкими полукружьями или четвертинками  форма нарезки здесь не играет принципиальной роли и на вкус напитка не повлияет  переложите в емкость нарезанные цитрусы  всыпьте обычный сахар песок  заменить его лучше тростниковым сахаром  тогда вкус напитка приобретет приятную карамельную нотку  или используйте сахарозаменитель  добавьте листики мяты  которые заранее следует порвать руками на кусочки или мелко нарезать ножом  можно растереть в ступке до выделения сока   вилкой или ложкой тщательно разомните лимон  лайм и мяту  растереть ингредиенты можно и в ступке  очень важно  чтобы из этих компонентов выделился сок  так коктейль будет еще более насыщенным и ароматным  полученную смесь разложите по заранее помытым и высушенным бокалам  залейте содержимое спрайтом  вместо спрайта можно использовать обычную газированную воду без добавок  часть льда переложите в чашу блендера  взбейте его до состояния крупной крошки  измельчить лед можно и другим способом  заверните кубики льда в полотенце  немного побейте по нему скалкой  добавьте ледяную крошку  около   объема бокала  и целые кубики льда в напиток  как правильно приготовить лед  чтобы он получился прозрачным  используйте холодную кипяченную или негазированную очищенную воду  не берите водопроводную воду  она придаст напитку неприятный привкус  кипятите воду около  минут  остудите  повторите кипячение  охладите до комнатной температуры  разлейте в формочки для льда  поставьте в морозилку до полного застывания  напиток украсьте целыми кружочками лайма и листиками мяты  пейте сразу же после приготовления  пока лед не растаял  подавайте напиток с коктейльной соломинкой  
