Номер;Рецепт
1;чистим морковь и хорошенько промываем  разрезаем ее на кусочки  можно и помельче   закладываем в соковыжималку и выжимаем сок  готово   теперь вы можете наслаждаться необычайным вкусом морковного фреша  
2;смородину можно использовать свежемороженую  а специи в молотом виде  примерно соблюдая пропорции  отправить все ингредиенты  кроме сахара  в кастрюлю  залить водой  довести до кипения и варить не более  минут  добавить сахар  немного растолочь ягоды в кастрюле  чтобы они максимально отдали вкус  еще раз довести до кипения и выключить  процедить компот в кувшин  можно пить сразу горячим или дождаться  когда остынет очень вкусно в любом виде  если мало сладости  добавьте мед в почти остывший компот  приятного аппетита  
3;курагу хорошо промыть в теплой воде  залить литром воды  варить с момента закипания на медленном огне в течение  минут  вынуть ягоды  пробить блендером  соединить массу с отваром  в  мл холодной воды развести крахмал  отвар с курагой довести до кипения  струйкой влить крахмал  помешивая  чтобы не было комочков  варить с момента закипания в течение двух минут  помешивая  приятного аппетита  
4;ананас  банан и дыню мелко нарезать  добавить кокосовое молоко  воду довести до кипения и залить фрукты  дать настояться  минут  приятного аппетита  
5;мяту залить холодной водой на  минут  чтобы ушла горечь и в напитке присутствовал мягкий мятный вкус  мяту освободить от лишней воды  апельсин нарезать тонкими дольками  все складываем в чайник  добавляем гвоздику  порошок стевии  подсластитель можно заменить на свой вкус   воду вскипятить  заливаем половиной горячей воды подготовленные ингредиенты  даем постоять  минут  доливаем оставшуюся горячую воду в чайник  даем настояться  минут  напиток готов  можно наслаждаться  
6;вот все необходимые ингредиенты  для это коктейля я использовала кремовый мед с малиной  в его состав входят липовый мед и малиновое пюре  вы можете использовать тот мед  который вам нравится  апельсин и киви нужно очистить от кожуры  затем нарезать киви крупными кусочками  а апельсин разобрать на дольки и очистить их от пленок и косточек  если косточки есть   в блендер положить кусочки киви  дольки апельсина и добавить мед  все измельчить до однородного состояния  то есть должно получиться пюре  в шейкер наливаем молоко и выкладываем измельченные с медом фрукты  закрываем шейкер крышкой и все перемешиваем  коктейль готов  приятного аппетита  
7;банан почистить и нарезать на кусочки  все ингредиенты  кроме сиропа  поместить в блендер  взбить смесь до однородной массы  в процессе взбивания добавить кленовый сироп  приятного аппетита  
8;какао я варю в турке  в молоко добавила сушеную мяту  добавила какао и на медленном огне  помешивая  довела до кипения  при слабом слабом кипении проварила пару минут  процедила от мяты  в горячий какао при желании добавьте пару долек шоколада  приятного аппетита  
9;иван чай  мяту  цветы жасмина  лофант  всеэто я заготовила летом  травы засыпала в чайник и залила кипятком  дала настояться  минут  вкусный полезный травяной чай готов  приятного аппетита  
10;промоем хорошенько боярышник  а если попадется два три листочка боярышника  не выкидывайте  онитоже полезны  очищаем яблоки  мне нравится есть их очищенными из компота  вы можете не очищать  некрупно нарезаем  в кастрюлю опускаем наши фрукты  ягоды и заливаем двумя литрами воды  доводим до кипения на среднем огне и кипятим пять минут  выключаем огонь  в горячий напиток кладем мед  еще добавляем корочку мандарина и цедру лимона  можно положить корицу  половину чайной ложки  для аромата  закрываем крышкой кастрюлю и оставляем до полного охлаждения  можете процедить и убрать в холодильник  нет ничего лучше  чем приготовить любимый напиток самому  а после наслаждаться  а вы знали  что если перемолоть сушеные плоды боярышника  можно сделать муку  а если размешать с медом  получить полезную и вкусную начинку для пирогов  
