Номер;Рецепт
1; горячий клюквенный чайклюкву перебрать  вымыть и протереть в миску через сито  переложить в полотняный или марлевый мешочек и отжать сок  клюквенный жмых положить в сотейник  залить водой и довести до кипения  отвар процедить                                                                                          добавить в отвар отжатый клюквенный сок  сок апельсина  гвоздику  корицу и сахар  перемешать и дать настояться   ч  процедить и подогреть на среднем огне  добавлять в свежезаваренный чай по вкусу                                             марокканский мятный чайзаварить зеленый чай  мяту вымыть  отделить листики от стебля  положить листики мяты и сахар во второй чайник и залить кипятком  дать настояться   мин                                                                                          через мелкое ситечко перелить зеленый чай в мятный настой и перемешать  в высокие стаканы положить по  веточке мяты  влить горячий чай                                            
2;                                              гранат вымыть  срезать верхушку  ножом сделать на кожуре несколько глубоких продольных надрезов  опустить гранат в широкую миску с водой  очистить от кожуры  аккуратно освободить зернышки от внутренних перепонок  клюкву перебрать  промыть и выложить на бумажные салфетки  чтобы стекла вся вода                                                                                          сложить зерна граната и клюкву в сито  с помощью деревянного пестика отжать сок  добавить сок в емкость с минеральной водой  перемешать и разлить по бокалам                                            
3;                                              положите клюкву в сито  установите над миской  потолките  отожмите сок                                                                                          выжимки положите в сотейник  залейте бутилированной водой  на небольшом огне доведите до кипения  варите  мин  затем снимите с огня  настаивайте под крышкой еще  мин                                                                                          процедите отвар  смешайте с отжатым клюквенным соком  подсластите морс сахаром или медом по вкусу  по желанию  можно добавить также сок половины лимона                                                                                          подавайте морс теплым  остывшим или холодным  со льдом                                            
4;                                              у арбуза удалить корку  из мякоти удалить семечки  отложить лайм и веточек мяты  для украшения  уоставшейся мяты удалить веточки  листья нарезать  выжать  из оставшегося лайма сок  взбить арбузную мякоть сяблочным соком  мятой исоком лайма до однородности                                                                                              смочить края высоких стаканов в воде  окунуть горлышком вниз в насыпанный на блюдечко сахар  очень аккуратно разлить по подготовленным стаканам арбузный мохито  украсить веточкой мяты  и парой ломтиков лайма  подать немедленно                                            
5;                                              в бокалы для шампанского влить по  ч  л  каждого ликера  держа бокалы под углом  покрутить их в разные стороны так  чтобы ликеры растеклись по стенкам                                                                                         тонкой струйкой влить шампанское  не размешивать  для украшения можно добавить ягоды черники или малины  сразу же подать  
6;                                              сахар залить  мл воды  поставить на огонь  готовить  пока сахар полностью не растворится  снять с огня и дать остыть                                                                                          арбузную мякоть нарезать небольшими кусочками  очистить от косточек  поместить в блендер  влить сироп  взбить до однородности  поставить в холодильник на  ч                                                                                          готовый фраппе перемешать и разлить по охлажденным бокалам  аккуратно влить в каждый по  мл водки  сразу же подать к столу                                            
7;                                              белый ром разлить по бокалам                                                                                          добавить банановый ликер  долить шампанским  аккуратно перемешать                                            
8;                                              в шейкере соединить шоколадный  банановый и апельсиновый ликеры                                                                                          шейкер закрыть крышкой и несколько раз встряхнуть  разлить по стаканам                                                                                          в небольшой ёмкости венчиком взбить сливки до густой пены  выложить сливки в стаканы  украсить веточкой мяты                                            
9;                                              смешать сахар со  мл воды  поставить на огонь  не размешивая  довести сироп до кипения и варить на слабом огне еще  мин   но не более  остудить до комнатной температуры      бананы очистить  произвольно нарезать  затем измельчить их в блендере  добавив арбузный и лимонный сок  водку и сахарный сироп  когда смесь станет однородной  разлить по стаканам  добавить лед                                            
10; приготовить арбузный сок  вынуть из арбуза мякоть  нарезать ее кусочками произвольного размера  небольшими порциями протереть через мелкое сито  чтобы мякоть протиралась быстрее  можно заранее вынуть все косточки  полученный сок слить в кувшин                                                                                            на дно бокала положить  листиков мяты  всыпать сахар и слегка раздавить рукояткой ножа  добавить лимонный и арбузный сок                                                  если этот коктейль буду пить только взрослые  то можно добавить  мл светлого рома или джина   
11;                                              клюкву перебрать  тщательно вымыть  опустить на   мин  в кипящую воду  откинуть на дуршлаг                                                                                           ягоды переложить в кастрюлю  размять пестиком  влить воду  добавить специи и быстро довести до кипения  отвар процедить                                                                                            добавить мед и дать настояться  часа  пить холодным или прогретым                                            
12;                                              картофель тщательно вымыть щеткой и отварить в мундире в слегка подсоленной воде до готовности  примерно  мин  немного остудить  очистить от кожуры и нарезать небольшими кубиками                                                                                          зеленый лук  укроп и петрушку вымыть  обсушить и измельчить  сложить картофель и зелень в большую миску  присыпать солью  тщательно перемешать и слегка подавить пестиком                                                                                          яйца сварить вкрутую  обдать холодной водой и очистить от скорлупы  нарезать яйца и малосольные огурцы кубиками  редис вымыть и натереть на терке  отрезав кончики  мясо нарезать тонкой соломкой  добавить яйца  огурцы  редис и мясо в миску с картофелем  перемешать  при необходимости добавить соль                                                                                          квас смешать с хреном  влить в миску  разлить мясную окрошку на квасе по тарелкам  положить сметану по вкусу                                            
