Номер;Рецепт
1;классический итальянский капучино подаётся в белой керамической чашке  выберите чашку  в которую будет входить  кофейных чашечки жидкости капучино будет состоять из  кофейной чашечки крепкого кофе и  х таких же чашечек молока  если же нет кофейной чашечки  то просто измерьте сколько жидкости входит в вашу чашку для чая и поделите на  части  например  если в чашку входит  мл  то для капучино будем брать  мл кофе и    мл молока для капучино обязательно нужно хорошее молоко   свежее  цельное  необезжиренное и  желательно  с коротким сроком хранения  такое молоко будет лучше взбиваться в пену  обезжиренное молоко тоже можно взбивать  но пены будет меньше и она нестойкая  т е  быстрее оседает отмерьте  части молока и влейте их в кастрюльку теперь нужно приготовить кофе  как известно  кофе  который нужно варить  намного вкуснее растворимого  но если нет времени  то можно использовать и растворимый  приготовьте его так  как вы любите  но кофе должен быть достаточно крепким  т к  мы будем разбавлять его молоком  для  порции капучино    кофейная чашечка  наливаем его в чашечку горячим  сразу же кладём сахар  перемешиваем и оставляем  я его обычно чем нибудь накрываю  чтобы не остыл  теперь о самом главном   о технике взбивания молока для взбивания нужен обычный погружной блендер и высокий контейнер или стакан сначала молоко нужно нагреть  но ни в коем случае не до кипения  молочная пена начинает взбиваться от   до   градусов  если молоко перегрето  молочные протеины разрушаются и взбиваться оно не будет температуру нагрева можно проверить кончиком пальца  если чувствуете  что молоко становится горячим и вы уже не можете опустить в него палец  нужно снять его с огня наливаем нагретое молоко в высокий контейнер или стакан для взбивания и взбиваем блендером  движениями вверх вниз  стараясь  чтобы молоко не слишком закручивалось в воронку и не образовывались слишком большие пузыри а сколько же по времени его нужно взбивать  да насколько у вас хватит терпения  но не слишком долго  а то и молоко и кофе остынут  минуты  будет вполне достаточно  вот такая получилась пена  на фото я взбивала молоко на  порции капучино  получилась   часть пены  если взбивать молоко только на одну чашку  то может получиться и   часть  из этого делаем вывод  лучше не готовить несколько чашек капучино одновременно  даём готовой пене постоять минутку вливаем в чашку кофе и затем молоко с пеной  чтобы проверить  получилось ли у вас капучино  попробуйте насыпать на пену немного порошка корицы или какао  если он остался на поверхности и не утонул    у вас получилась неплохая пена   проба вторая  насыпать немного сахара на пену  на фото коричневый сахар   если не утонул   браво  ваш капучино близок к оригиналу    ну  а если вы кладёте на пену кусочек сахара  и он тоже не тонет      может быть вы уже  взбили безе      капучино готов  можно посыпать его сверху какао или корицей  уже не для проверки  а для вкуса  и   наслаждаться нежным кремовым напитком     поговорим немного о  латте арт  или искусстве украшать капучино  которое тоже впервые появилось в италии  а сейчас приобрело большую популярность во всём мире с помощью нежной молочной пены можно создавать различные рисунки и надписи на капучино и таким образом  подавать его красиво и элегантно поищите в интернете видеоролики для      и вы увидите  что профессиональные бармены творят с капучино настоящие чудеса мне всегда хотелось повторить нечто подобное и дома     давайте поучимся украшать капучино вместе     следует заметить  что пена полученная с помощью блендера в домашних условиях  гораздо более воздушная и рыхлая чем та  которую получают в кофейном аппарате  поэтому повторить полностью все трюки итальянских барменов  увы  не получится    теперь раскрою несколько секретов  латте арт      первый секрет состоит в том  как вы наливаете молочную пену в чашку  лучше всего и взбивать и затем наливать молоко с помощью высокого контейнера или кувшинчика  или молочника  у меня это высокий мерный стакан  с носиком   сначала  держа этот контейнер в руке  круговым движениями нужно слегка перемешать пену с молоком если наливать пену быстро и держать при этом контейнер близко к чашке  вся пена окажется сверху белой шапкой  если же держать контейнер высоко над чашкой и наливать осторожно  получаем светло коричневую поверхность  если начать наливать высоко  а в самом конце приблизить контейнер к чашке  получаем белое пятно пены на кофейном фоне  зная это  наливаем так  как нам это нужно и украшаем   украшаем какао или корицей это самый простой способ  выливаем пену в чашку  вырезаем в листе плотной бумаги дырку любой формы  у меня это сердце   держим близко над чашкой бумагу  и посыпаем какао или корицей  получается рисунок      для выполнения надписей и узоров на пене можно использовать остатки кофе  которые остаются в чашечке  особенно  если вы делали растворимый кофе   с помощью палочки напишите или нарисуйте сверху всё  что хотите  эти рисунки тоже выполнены в той же технике  с этой же целью можно приготовить шоколадный соус и использовать его для украшения точно так же  для этого немного шоколада натереть на тёрке в чашечку  поставить чашку в горячую воду  чтобы шоколад растворился  и разбавить его водой  соус должен получиться жидким  использовать его для декорирования нужно ещё тёплым  продолжаем говорить о латте арт       узор  сердечки влить молочную пену медленно  держа контейнер на дальнем расстоянии от чашки  чтобы поверхность капучино осталась коричневой остатками пены в контейнере с помощью ложки нанести несколько пятен на поверхности палочкой провести окружность через все белые пятнышки    узор  ракушка налить пену в чашку как в предыдущем случае ложкой выложить оставшуюся пену так  как на фото  кончиком палочки провести окружность по спирали начиная от центра  именно из за этого узор и называется  ракушка    делаем завиток как  на улиткиной раковине  вот  что получается      узор  ракушка  с шоколадом выполняется так же  но добавляются линии  сделанные тёплым шоколадным соусом  пока он не остыл  если начнёт застывать  то не получится ровный узор   ну  вот пока и все секреты    а если вы ещё не устали от моих  чашечек   то для вас ещё один рецепт   шоколадный капучино  на одну порцию капучино   в нагретое молоко для взбивания добавьте   г тёртого на мелкой тёрке шоколада и взбивайте молоко вместе с шоколадом  дальше влейте в чашку кофе и затем взбитое  шоколадное молоко   как и для обычного капучино  готовый напиток посыпьте остатками тёртого шоколада  не забудьте  что в этом случае можно обойтись без сахара или добавить его совсем чуть чуть  т к  шоколад уже сладкий такой капучино будет иметь мягкий шоколадный вкус      а детям можно предложить не капучино  а просто взбитое молоко  добавив в него немного какао или тёртого шоколада  думаю  что от такого  шоколадного молока  с аппетитной пенкой они не откажутся    
2;польза   молоко из овсяных хлопьев заряжает энергией  т к  богато белками  клетчатка  содержащаяся в нём  очищает сосуды от холестерина   у него приятный злаковый вкус  его можно пить само по себе  а можно смешивать с фруктами  измельчая их блендером в пюре  получится вкусный и полезный коктейль на завтрак приготовление пропорции хлопьев и воды    выход молока  около  мл  ст  овсяных хлопьев  не быстрого приготовления   залить  ст  холодной воды  добавить щепотку соли по вкусу и оставить на ночь  утром измельчить всё блендером  можно добавить по вкусу ещё соли  сахара или мёда  ванили или корицы  процедить через мелкое сито или марлю  и можно пить  совет  не выбрасывайте оставшиеся после процеживания овсяные хлопья  на фото сверху   это отличная питательная маска для лица  наложить на чистую кожу на  минут  затем смыть   а ещё их можно использовать для приготовления этих тефтелей  или этих котлет   миндальное молоко польза  есть на земле место  где живут настоящие  миндальные коровы     это сицилия  на этом итальянском острове вот уже более двух тысяч лет готовят миндальное молоко  миндальное молоко изумительно вкусное    из него готовят массу деликатесных блюд  используют и для десертов и кремов  и для соусов  и для выпечки  существует даже рецепт миндального супа  можно добавлять его в кофе и какао   а ещё оно ужасно полезное   в нём очень много магния  фосфора  кальция  фолиевой кислоты  витамина е и цинка  в общем  лучшего заменителя для животного молока  чем миндальное  просто не найти   приготовление пропорции орехов и воды    выход молока  около   мл  стакан миндальных орехов  необжаренных  залить холодной водой на ночь  утром слить эту воду и ошпарить миндаль кипятком на  минут  после этого его очень легко очистить от кожицы  затем очищенные ядра залить  ст  холодной воды  добавить по вкусу немного сахара или мёда  в качестве подсластителя можно также использовать финики   измельчить всё как следует блендером  процедить  хорошо отжать и пить готовое молоко охлаждённым   совет  оставшиеся измельчённые ядра миндаля  на фото сверху  можно слегка подсушить на противне в духовке при  градусах и добавлять в тесто  например  в печенье или кекс   но вкус  у такого миндаля будет не очень насыщенным   а ещё это отличный натуральный скраб для тела  достаточно взять немного этой миндальной крошки  подсушивать в духовке в этом случае не надо   и смешать с гелем для душа тыквенное молоко польза  кто бы мог подумать  что из обычных тыквенных семечек тоже можно получить молоко     да ещё какое     в нём много белков  железа  цинка  магния  калия  кальция  фосфора  фолиевой кислоты   целая кладезь полезных веществ  а ещё молоко из тыквенных семечек очень полезно для мужчин как профилактика простатита приготовление  пропорции семечек и воды    выход молока  около  мл  ст  очищенных тыквенных семечек замочить на   часа в  ст  холодной воды  добавить по вкусу немного сахара или мёда и измельчить всё блендером  процедить через сито или марлю и можно пить тыквенное молоко    
3;налейте в стакан или бокал холодное молоко  разведите в нём крахмал  чтобы не было комочков  остальное молоко доведите до кипения  когда молоко закипит  убавьте нагрев плиты  всыпьте сахар  перемешайте  тоненькой струйкой влейте холодное молоко с крахмалом  всё время помешивая  варите  минут  помешивая  перед отключением плиты  добавьте ванильный сахар и ещё раз перемешайте кисель вкусен как в горячем   так и в холодном виде  нам больше нравится в холодном  кисель становится очень густым и его можно кушать ложкой приятного аппетита  
4;  в шейкер  или в иную емкость  добавьте  чайные ложки растворимого кофе  туда же добавьте  чайные ложки сахара  затем добавьте  столовые ложки воды  закройте шейкер и мешайте  я мешала  минуты без перерыва в шейкере   пока не получите жидкость как на фото  возьмите пустой стакан и наполовину заполните его кубиками льда  залейте в стакан полученную ранее пену  вот таким получается после того  как вы налили пенку  дайте постоять   минуты  чтобы кофе отделилось от пенки добавьте молоко и кофе готово  кофе получается в  слоя  если молоко наливать осторожно  тонкой струйкой  приятного     
5;слова автора  фото мои впервые увидела это блюдо во французской комедии  добро пожаловать к шти    шти   так называют французов  которые живут на севере франции  за то  что они шепелявят  так вот  они так завтракают  заливают сыр  маруаль  горячим кофе  выпивают кофе и потом едят ложкой сыр  который расплавляется к тому времени   на дно невысокой чашки положить кусочек сыра и залить горячим кофе  не мешать    пить кофе  когда дойдете до сыра   есть его ложкой или хлебной палочкой это обязательно надо попробовать  поверьте на слово   просто  необычно и очень вкусно   приятного аппетита     
6;лимоны вымоем ошпарим кипятком и разрежем на кусочки вместе с цедрой сложим в  х литровую банку  добавим кориандр и гвоздику вольем водку накроем и будем блаженствовать  дней пока все это настаивается заметьте ничего не надо встряхивать мешать ну чем не кайф   через неделю в   л воды всыпать сахар размешать и довести до кипения варим сиропчик до мягкого шарика у меня ушло около  минут   настоечку процеживаем через сито с двумя слоями марли смешиваем с сиропом по бутылочкам и на хранение  ну что сказать мы с подружками долго выдвигали свои версии  почему спотыкач  было весело и неожиданно но это уже другая история    
7;в бокал насыпать сахар и выжать сок из половинки лайма  хорошо размешать  чем больше сахара растает  тем лучше   корочку лайма разрезать на несколько частей и тоже положить в бокал   оборвать листики мяты  положить в бокал  всё хорошо перемешать  немного потолочь  наполнить бокал льдом примерно на    добавить ром  долить до верха тоником  украсить долькой лайма или мятой   можно использовать лимон вместо лайма  белый сахар вместо коричневого  но вкус будет уже другой     можно приготовить безалкогольный мохито   просто не добавлять ром приятного аппетита  
8;    и делаем из половины молока и какао порошка приготовьте какао согласно инструкции на упаковке какао   остудите  перелейте в блендер   очистите банан от кожуры  нарежте на крупные кусочки  добавьте в блендер вместе с клубникой  клубнику предварительно размораживать не нужно    влейте в блендер оставшееся молоко и добавьте все остальные ингредиенты   взбейте в пышную массу  разлейте по высоким бокалам и немедленно подавайте  если вы захотите приготовить этот коктейль из свежей клубники  то просто добавьте в блендер горсть льда   и  конечно  клубника   далеко не единственный вариант ягод для шоколадного милк шейка  вы вполне можете заменить ее или скомбинировать с черникой  ежевикой  голубикой  брусникой  малиной и др  
9; 
10;лайм вымыть и разрезать пополам   половинку лайма разрезать на  дольки или нарезать ломтиками  вторую половинку отложить и использовать для украшения готового коктейля    мяту вымыть и отделить листья от веточек   в охлажденный бокал положить мяту  ирастолочь пестиком до появления яркого мятного аромата  добавить дольки лайма  и тоже размять пестиком до появления сока  влить ром и добавить сахарный сироп  насыпать в бокал доверху колотый лед  совет   для приготовления сахарного сиропа в маленькую кастрюлю насыпать  чайных ложки сахара и влить  чайных ложки воды  довести до кипения и растворения сахара  как только сахар растворится   сироп готов  готовый сироп быстро охладить  поставив кастрюлю на лед или в холодную воду совет   вместо сахарного сиропа в бокал с мятой и лаймом можно добавить сахар  в этом случае  к сахару нужно добавить немного газированной воды и помешивать  пока сахар полностью не растворится  сахар можно использовать белый или коричневый  но коричневый сахар придает мохито едва уловимый карамельный привкус совет   если хотите приготовить безалкогольный мохито   просто не добавляйте в коктейль ром совет   чтобы измельчить лед  его нужно положить в плотный полиэтиленовый пакет  а пакет завернуть в полотенце  затем постучать по нему скалкой или молотком для отбивных  пока лед не превратится в мелкую крошку   аккуратно перемешать коктейльной ложкой  стараясь захватить ингредиенты снизу бокала  влить немного охлажденного спрайта  и газированной воды  наполнив бокал доверху  украсить мохито долькой лайма  веточкой мяты и сразу подавать приятного вам аппетита  
