Номер;Рецепт
1;в кастрюлю налить воду и отправить на огонь  что бы закипела лимон и имбирь нарезать кругами мяту используем веточками вода закипела снять с огня и пусть  минут постоит  и только потом в воду добавляем имбирь  мяту и лимон накрывает кастрюлю крышкой на  минут через  минут наш полезный напиток готов пожеланию можно добавить сахар или мед 
2;в миску добавьте  ст  ложки растворимого кофе добавьте  ст ложки сахара добавьте  ст  ложки холодной воды взбивайте миксером около  минут должна образоваться светлая густая пенка часть пенки отправляем в чашку к пенке вливаем горячее молоко перемешайте по желанию сверху можно еще добавить пенку кофе дальгона готов 
3;молочный кисель готовится проще простого в ёмкости смешиваем все наши ингредиенты лучше взбить блендером или миксером  что бы не было комочков и отправляем в кастрюле на средний огонь только главное стоять и постоянно мешать хорошо  как начнёт кипеть засекаем   минуты и выключаем огонь кисель вкусный как горячий так и в холодном виде 
4;срезанные молодые побеги очищаем от мусора  удаляем попавшие иголки перекладываем их в эмалированную или нержавеющую кастрюлю и заливаем водой ставим емкость для приготовления соснового меда на плиту  доводим до кипения и варим на малом огне около  минут снимаем с плиты  накрываем крышкой и оставляем отвар на сутки  настаиваться наш отвар имеет приятный сосновый смолистый аромат и чуть горьковатый вкус через сутки процеживаем его через мелкое сито или марлю  добавляем сахар и ставим на огонь доведя до кипения  убавляем нагрев до малого и варим    минут до того момента  когда  сосновый мед начнет густеть добавляем сок лимона или лимонную кислоту для того  чтобы наше кулинарное произведение не засахарилось впоследствии получился не очень густой сироп приятного желтого цвета  напоминающий настоящий мед у него очень приятный аромат сосны выливаем сосновый мед в чистую банку и закатываем не будем забывать  что сосновый мед  это прежде всего лекарство употреблять его следует в меру  одна столовая ложка для взрослого  одна десертная  или две чайных   для ребенка сосновый мед используют при лечении бронхо легочных заболеваний  воздушно капельных инфекций  простуды он является и прекрасным профилактическим средством  помогающим избежать подобных неприятностей со здоровьем сироп из сосновых побегов  сосновый мед  готов приятного аппетита 
5;нарезать лимоны сложить в сотейник засыпать сахаром  налить воду поставить сотейник на средний огонь до закипания уменьшить огонь до минимального  кипятить  минут переложить лимоны и сироп в графин оставить остывать до комнатной температуры убрать в холодильник на пару часов готовый сироп разбавлять с газированной водой в соотношении  к  при желании можно добавить мяту и лед лимонад готов 
6;все продукты берутся в равных количествах  отмерял мерной чашкой    для вас переведу в столовые ложки и миллилитры кофе обычный растворимый  вода кипяченая  теплая  в удобной  большой  чашке смешиваем кофе с сахаром и понемногу добавляем воду  при этом взбиваем венчиком как только кофе поменяет цвет  можно вводить оставшуюся воду взбиваем до блестящей  плотной массы можно воспользоваться миксером  блендером  но лучше венчиком на это уходит   минуты первый вариант  наливаем молоко в стакан и сверху три большие ложки нашей кофейной массы для второго варианта  в три ложки кофейной основы вмешиваем ложечку какао классно получается  такой вариант мне нравится больше всего третий вариант для летнего  жаркого дня вместе с молоком в стакан добавляем кубики льда и сверху волшебная кофейная масса 
7;  варенье  любое  перекладываем в емкость для настаивания  например банку   добавляем водку и перемешиваем плотно закрываем крышкой и ставим в темное место на  дней раз в сутки встряхиваем   спустя  дней процеживаем наливку через марлю затем фильтруем через вату для прозрачности  более наглядно процесс фильтрования можно посмотреть в коротеньком видео ниже    разливаем в бутылки для хранения  плотно закрываем или сразу пробуем и наслаждаемся вкусной наливочкой можно хранить при комнатной температуре в темном месте 
8;  овсяные хлопья залить водой с вечера   утром они разбухнут поместить в блендер вместе с водой в которой они были замочены   взбивать в течении  минуты на средней скорости 
9;снимаем цедру  го апельсина и натираем на мелкой терке корень имбиря  большой кусочек или по меньше  по желанию  выжимаем сок из апельсинов выжимки не выбрасываем добавляем в апельсиновый сок палочку корицы  гвоздику    бутонов  немного сушеной мяты и цедру апельсина отправляем сотейник на плиту нужно довести апельсиновый сок до кипения  но при этом ни кипятить снимаем сок с огня и даем настояться нарезаем выжимки  перекладываем в кастрюлю и заливаем водой добавляем  ст л  сахара и пол ч л  молотой корицы перемешиваем и варим  минут после закипания остужаем отвар из выжимок до комнатной температуры или пусть он будет чуть теплым процеживаем и смешиваем с процеженным апельсиновым соком с пряностями добавляем мед или сахар по вкусу получается освежающий  полезный  в меру сладкий имбирно апельсиновый напиток  который отлично помогает от простуды  бодрит и тонизирует можно хранить его  в холодильнике не более  х или  х дней пейте теплым или охлажденным и будьте здоровы 
10;авокадо и банан почистить и порезать кубиками все ингредиенты поместить в блендер и взбить 
11;помыть все овощи и мяту очистить от кожуры имбирь  нарезать выдавить лимон смешать отдельно все ингредиенты  а затем добавить в воду дать настояться  минут будьте всегда здоровы приятного аппетита 
12;фрукты тщательно помыть  х литровую банку и крышку тщательно помыть содой стерилизовать банку в течение  минут  крышку обдать кипятком в это время  пока банка стерилизуется  залить в кастрюлю примерно   литра воды  довести до кипения добавить сахар помешивать до полного его растворения нарезать дольками яблоко и апельсин  у персика удалить косточки и тоже нарезать дольками наполнить банку фруктами и сахаром залить горячим сиропом на момент заливки банка должна быть горячей  иначе в процессе может дать трещину закрутить крышку укутайте банку в одеяло до полного остывания в прохладном месте компот может храниться до  года 
13;ягоды клюквы засыпать в банку и добавить сахар размять клюкву добавить коньяк  перемешать  закрыть банку крышкой и на   часа поставить в теплое место процедить настойку через марлю и вату добавить теплую     кипяченую воду  хорошо перемешать охладить клюкву на коньяке до комнатной температуры  разлить в бутылку и плотно закрыть пробкой в холодильнике напиток может храниться до  месяцев все хорошо  что в меру приятного аппетита 
14;беру небольшой чайник и добавляю ингредиенты для чая  натираю кусочек имбиря на мелкой терке добавляю сушеное яблочко для придания нежного яблочного вкуса и аромата перед приготовлением напитка хорошо промывая листики алоэ под проточной водой аккуратно срезаю переднюю плоскую часть листка и провожу ножом по нижней части  чтобы избавиться от кожицы и достать мякоть  нежный прозрачный гель нарезаю чистый гель и кожицу алоэ на маленькие кубики и отправляю к остальным ингредиентам сюда же отправляю мелко нарезанный киви и заливаю все это горячей водой даю настояться   минут когда чай слегка остынет  можно добавить мёд или сахар  по желанию для усиления вкуса я добавляю в чашку мелко нарезанный киви для более устойчивого и насыщенного цитрусового аромата  добавляю небольшой кусочек лимона цвет этого напитка намного светлее обычного зеленого чая  благодаря кусочкам киви  я бы сказала  что он светло оливковый  именно киви его слегка осветляет  аромат освежающий  желаю всем здоровья  теплого  уютного чаепития 
15;в глубокую чашу добавить растворимый кофе  сахар и кипяток взбивать миксером примерно  минут должен получиться плотный крем в стакан налить молоко  сверху положить крем  перемешать можно пить как в горячем  так и в холодном виде кофе готов 
