Номер;Рецепт
1;   наливаем в кастрюльку вино  ставим на слабый огонь и слегка подогреваем до приятной теплой температуры      пока вино нагревается  ошпариваем лайм кипятком  снимаем цедру  выдавливаем сок в отдельную мисочку  если вместе с соком попали косточки  их обязательно выбираем  иначе глинтвейн будет горчить      яблоко режем ломтиками  удаляем серединку с семенами  вместе с цедрой добавляем в кастрюлю с вином     ароматизируем глинтвейн корицей  гвоздикой и для более насыщенного вкуса добавляем горошины черного перца  корицу можете взять молотую  на такое количество глинтвейна понадобится неполная чайная ложка  вливаем сок лайма          на медленном огне даем напитку подогреться  но не доводим до кипения  как только по краям будут заметны мелкие пузырьки  снимаем с огня      накрыв крышкой  настаиваем глинтвейн пока не остынет до такой температуры  чтобы можно было пить не обжигаясь  процеживаем напиток через мелкое сито     добавляем в глинтвейн мед по вкусу  по желанию  можно обойтись без него   размешав до полного растворения крупинок меда  настаиваем напиток еще минут пять     разливаем готовый глинтвейн по кружкам  стаканам и сразу подаем  при подаче можно положить в каждый стакан кружок лайма  дольку лимона  апельсина или яблока   вкусным получается и глинтвейн из белого вина   
2;   в кастрюлю или миску влить воду и добавит специи для глинтвейна  у нас это звездочки бадьяна  корица в палочках  душистый перец горошком и кардамон  если у вас нет готового набора  то используйте всех специй по   шт  также добавьте в воду срезанную с апельсина кожуру  используйте апельсиновую кожуру по вкусу  чтобы придать глинтвейну незабываемый аромат     подогреть воду со специями  всыпать сахар  довести до кипения и проварить в течение  минут  дать настояться под крышкой  минут     процедить отвар со специями через сито и вылить обратно в емкость     влить красное сухое вино и поставить глинтвейн на медленный огонь подогреваться  довести жидкость до  с  затем снять с огня  прикрыть крышкой и дать настояться  минут          готовый горячий глинтвейн разлить в бокалы с ручками  чтобы не обжечься  приятного всем аппетита   с удовольствием расскажем вам  как приготовить глинтвейн с апельсином и лимоном   
3;   ягоды черноплодной рябины отделите от веточек и тщательно промойте под проточной водой   совет  ягоды черноплодки обладают окрашивающими свойствами  поэтому весь процесс приготовления вина  от сбора ягод до их закладывания в банку  лучше всего проводить в перчатках     помытые ягоды сложите в глубокую миску и слегка придавите  чтобы они пустили сок     трехлитровую банку тщательно помойте с содой  сполосните и прокипятите над паром  в остывшую банку высыпьте сахар     затем высыпьте ягоды черноплодной рябины  вылейте образовавшийся сок  банку с сахаром и ягодами хорошо встряхните  чтобы сахар равномерно распределился между черноплодкой          залейте ягоды с сахаром до половины банки остывшей кипяченой водой  накройте банку крышкой и хорошо встряхните несколько раз  после чего вылейте остальную воду  банку накройте мягкой капроновой крышкой  снимать ее в процессе брожения не нужно  и поставьте бродить комнатной температуре  во время брожения на поверхности будут появляться пузырьки  время брожения вина из черноплодной рябины ориентировочно занимает      месяца  за этот период вино должно полностью  отыграть   не его поверхности не должно быть пузырьков и пены     когда вино перестанет играть  снимите с банки крышку и отцедите вино через мелкое ситечко или бинт или марлю  сложенные в несколько слоев  от ягод     отцеженное вино из черноплодной рябины перелейте в отдельную чистую банку  ее также накройте капроновой крышкой  банку с вином поставьте настаиваться еще на полмесяца  по мере настаивания на дне банки будет образовываться осадок     настоенное вино еще раз аккуратно отцедите от осадка образовавшийся осадок лучше всего оставить в банке  а затем вылить   готовое вино вылейте в чистую банку  бутыль или разлейте по стекляным бутылкам  после чего плотно закупорьте  ароматное  с непревзойденным вкусом и цветом  а главное   полезное вино из черноплодной рябины лучше всего пить слегка охлажденным  хранить вино из черноплодки желательно в прохладном месте  например  подвале или погребе   также просто готовится и ликер из черноплодной рябины в домашних условиях   
4;   кукурузу с листьями выложить на тарелку и отправить в свч печь  готовить  минут на полной мощности  оставить в микроволновке ещё на пять минут  достать кочан  полностью остудить  удалить листья     взять просторную миску  упереть кочан узкой частью и срезать зёрна острым ножом     выложить подготовленные зерна кукурузы в чашу блендера     влить  мл молока комнатной температуры          добавить мед и измельчить массу до однородности     влить остальное молоко и взбить повторно     процедить молоко через сито  жмых не выбрасывать  его можно добавлять в каши  оладьи  использовать для приготовления смузи     перелить молоко в эмалированную кастрюлю  добавить специи и варить массу    минуты периодически помешивая          молоко накрыть крышкой и оставить на  минут для настаивания  повторно отцедить напиток  специи удалить     разлить молоко по стаканам и подать в горячем виде  дополнить напиток свежим печеньем и сладостями  у молока из кукурузы густая тягучая структура  интересный сладковатый вкус с запахом специй  напиток отлично согревает и насыщает   для летнего варианта охладить молоко и подать с кубиками льда и мятными листиками   кукурузное молоко можно использовать как основу для приготовления различных коктейлей  смузи  для пикантных соусов и сладких поливок  на этом молоке получаются прекрасные блинчики  оладьи и тесто для пирожков и вареников  добавки из какао  овощных соков  острых соусов придадут напитку различные вкусы на основе одного и того же базового рецепта   в сезон советуем приготовить вкусное дынное молоко из семечек   
5;   вино можно ставить в период с конца августа и почти до конца осени  чуть тронутые морозцем ягоды тоже пригодны для переработки  собранный урожай перебираем  удаляем гнилые  сухие и заплесневевшие ягоды  мыть не нужно  так как на кожице живут дикие дрожжи  способствующие процессу брожения     измельчаем облепиху блендером  будьте внимательны  пятна от облепихового сока трудно отстирываются  и  кстати  сок с рук тоже отмывается с трудом     измельченные ягоды перекладываем в банку с широким горлом  добавляем  г сахарного песка и воду  если вода водопроводная  то советую её сначала отфильтровать и оставить в открытой ёмкости на несколько часов     надеваем на горлышко медицинскую перчатку  убираем ёмкость в тёмное  тёплое место  температура   градусов по цельсию   примерно через сутки масса начнёт бродить  запенится  вверх поднимется мезга  семена с кожицей   раз в день перемешиваем жижу деревянной ложкой          через  дня процеживаем жижу через марлю     тщательно отжимаем массу  жмых больше не понадобится  поэтому его выбрасываем     в получившийся сок  сусло  добавляем следующие  г сахарного песка  перемешиваем  надеваем перчатку на горлышко  в пальчике обязательно нужно проколоть дырочку иголкой  чтобы из банки выходил углекислый газ  ещё через  дней добавляем оставшийся сахар так  снимаем перчатку  отливаем примерно  литр сусла  смешиваем с сахаром и выливаем обратно в банку  убираем в тёмное  тёплое место на   дней  пока перчатка не опадет  это означает  что процесс брожения закончен  в процессе брожения вина из облепихи на поверхности собирается оранжевое масло  его нужно аккуратно удалять с помощью трубочки от капельницы     когда брожение закончится  очень аккуратно  опять же с помощью трубочки  сливаем вино в бутылки  старясь не поднять осадок со дна          бутылки закупориваем  убираем в тёмное  прохладное место на тихое брожение  оно может длится от  до  месяцев   вам также наверняка будет интересно узнать  как сделать домашнее вино из винограда изабелла   
6;   перебираем собранный урожай  удалям гнилые  зелёные и заплесневелые ягоды  мыть виноград не нужно  на его кожице живут бактерии и грибки  естественные дрожжи     обираем ягоды с веток  особо грязные виноградины можно потереть сухой тряпочкой     на этом этапе давим виноград  если нужно выжать сок из небольшого количества ягод  лучше взять деревянный пестик и давить виноградины частями  блендер не подойдет для измельчения  так как размолотит виноградные косточки  и вино будет горчить     виноградную жижу  которую виноделы называют мезгой  сливаем в большие ёмкости  бутыли или банки  заполняем ёмкости на   объёма          важно раздавить каждую виноградину  чтобы вышло как можно больше сока  можно давить жижу пестиком прямо в банке     для ускорения процесса брожения добавляем в банку немытый изюм  надеваем медицинские перчатки с проколотым пальчиком и оставляем виноградную жижу на  дня в тёплом  тёмном месте  температура   градусов по цельсию   в это время мезга поднимается вверх  поэтому жижу перемешиваем  раза в день чистой рукой или деревянной лопаткой     через  дня процеживаем мезгу с соком сквозь сито или марлю  если сок очень кислый  то можно добавить   мл воды на каждый литр     на каждый литр процеженного сока берём  г сахарного песка  половину сахара разводим в небольшом количестве сока  затем соединяем с остальным соком и разливаем в бутыли или банки          на горлышки банок надеваем медицинские перчатки с проколотым пальцем  оставляем на  дней в тёмном помещении  температура около  градусов по цельсию   через  дней отливаем немного сока  размешиваем в нём оставшийся сахар  вливаем в бутыли     процесс брожения длится   дней  когда перчатка опадет  брожение закончилось  разливаем вино в сухие стерилизованные бутылки  стараясь не поднимать осадок со дна     закрываем бутылки пробками плотно  храним в прохладном месте     а в следующий раз давайте приготовим вкусное и ароматное вино из лепестков розы   
7;   собираем плоды аронии после первых заморозков  чуть тронутые морозцем ягоды не такие терпкие и вяжущие     перебираем плоды  удаляем испорченные  сухие  обрываем ягоды с гроздей  убираем листочки и мусор     замачиваем ягоды в чистой воде  промываем тщательно  мусор  прилипший к плодам  всплывает на поверхность воды  его легко удалить с поверхности     далее откидываем черноплодку на сито  когда вода стечет  высыпаем на бумажные полотенца  хорошо обсушиваем          теперь растираем ложкой ягоды с сахарным песком  также можно измельчить плоды в блендере или пропустить через мясорубку     перекладываем ягодное пюре с сахаров в бутыль  наливаем водку  добавляем несколько бутонов гвоздики и   коробочки кардамона  встряхиваем и закрываем плотно пробкой  убираем бутыль в тёмное место на  недели  кстати  коробочки кардамона лучше сначала раздавить пестиком  так аромат кардамона раскроется лучше     через две недели процеживаем ликёр сквозь сито  чтобы он получился совсем прозрачным  можно дополнительно процедить жидкость сквозь плотную льняную ткань или марлю  сложенную в несколько слоёв     процеженный ликёр переливаем в чистую и сухую бутыль  снова плотно закрываем и опять убираем в тёмное место на   недели  по истечении этого времени можно пробовать вкусный домашний напиток из черноплодки   таким же вкусным получается и ликер из красной смородины в домашних условиях   
8;   для этого рецепта аронию черноплодную собираем осенью  подходят слегка подмороженные ягоды  и немного подсохшие  важно перебрать урожай  удалить испорченные плоды     обрываем ягодки с грозди  кладём в дуршлаг  хорошенько промываем проточной водой  затем высыпаем аронию на доску  обсушиваем     берём чистую  сухую бутыль подходящего размера с широким горлышком  насыпаем ягоды в бутыль  чуть придавливаем  чтобы полопались     апельсин тщательно моем мочалкой с абразивом под струёй горячей воды  затем снимаем тонкий слой оранжевой апельсиновой цедры  стараясь не задеть белую мякоть  белая мякоть горчит          нарезаем цедру мелко  высыпаем в бутыль на ягоды     далее насыпаем сахарную пудру  наливаем в бутыль коньяк  встряхиваем  затем очень плотно закупориваем  чтобы спирт не испарялся  и убираем в сухое  тёмное место на  дней     через две недели процеживаем готовую наливку сквозь сито  чтобы настойка получилась прозрачной  можно дополнительно процедить её через несколько слоёв плотной марли     процеженную настойку переливаем в сухую  чистую бутыль  снова очень плотно закрываем  ставим бутыль в тёмное место ещё на  дней  за это время на дно может выпасть незначительный осадок          рюмку обмакиваем в сахарный песок  аккуратно  стараясь не поднять осадок со дна  наливаем настойку в рюмку  бархатный  ароматный аперитив готов  приятного аппетита  хранить настойку можно в сухом  прохладном месте в плотно закупоренной бутылке   также просто готовится и получается вкусной настойка из мяты на водке   
9;   для приготовления закваски потребуется  дня  смешать  столовые ложки ржаной муки с тёплой водой до густоты сметаны  накрыть неплотно крышкой или марлей и оставить на  часа     через положенное время отобрать часть массы из банки и выбросить  а в закваску ввести  столовую ложку муки и немного воды   продолжать прикармливать закваску  дня  добавляя столько же свежей муки  сколько старой закваски остается в банке     воду для кваса довести до кипения  но не кипятить  сухари выложить в банку  всыпать сахар     влить горячую воду  не доливать ее до самого верха банки  с учетом того  чтобы квас при брожении не выливался  приблизительно  см до плечиков  оставить для настаивания до остывания до  градусов          добавить изюм  перемешать   всыпать ржаную муку     выложить закваску  накрыть марлей и оставить в темном сухом месте  время брожения зависит от многих факторов и в среднем составляет    часов      готовность определяется по всплытию изюма  квас процедить через сито и оставить в холодильнике на  суток  осадок использовать для приготовления новой порции кваса     готовый квас имеет множество пузырьков  кислый на вкус  с ароматом ржаного хлеба  при подаче можно дополнить напиток кубиками льда   квас отлично подойдет для рецепта классической окрошки   
10; подготовить все необходимые ингредиенты по списку  яблоки вымыть и просушить  после яблоки разрезать пополам  удалить сердцевину  нарезать яблоки дольками  произвольными по размеру      яблоки переложить сразу в кастрюлю  смородину вымыть хорошо и слегка просушить  смородину добавить к яблокам     добавить в кастрюлю к яблокам и смородине сахарный песок     добавить следом несколько листочков мяты  но если вы мяту не любите  не используйте ее для компота          влить в кастрюлю чистую воду  поставить на огонь и довести до кипения      варить компот   минут  спустя время снять пробу  после компот остудить и подавать к столу     приятного аппетита     продолжая тему компотов из микса ингредиентов  не можем не напомнить вам про рецепт компота из черной смородины и клубники   
