Номер;Рецепт
1;на первый взгляд рецепт приготовления домашнего пива из ячменя может некоторым показаться немного сложным  но поверьте мне  как только вы приступите к делу  все окажется гораздо проще  чем казалось  что касается самого пива и его вкуса  то как человек  который перепробовал  наверное  все виды домашнего пива  смело могу сказать  что домашний вариант обладает гораздо более мягким и насыщенным вкусов  а если прибавить к этому тот факт  что готовится оно из натуральных ингредиентов  то тут даже и сравнивать нечего  для всех  кто заинтересовался и захотел самостоятельно приготовить этот замечательный напиток  я расскажу  как сделать домашнее пиво из ячменя     ячменные зерна перекладываем в двухлитровую банку и заливаем водой  оставляем на  дня и не забываем дважды в день менять воду    затем нам необходимо слить воду и проращивать зерно   суток  переворачивая дважды в день    когда ростки отрастут до   см  нам необходимо просушить его  для этого мы расстилаем его тонким слоем и сушим естественном способом в течение суток  затем надо просушить его в сушилке при температуре   градусов    избавившись от ростков  мы измельчаем зерна в кофемолке  заливаем горячей водой    литра воды  температура    градусов  и настаиваем в течение часа  потов воду сливаем в другую посуду  нам она еще пригодится     добавляем в солод белые и черные сухари  у меня вышла в общей сложности обычная буханка  и заливаем еще  литрами кипятка и также в течение часа настаиваем    сцеживаем второй настой и смешиваем его с первым  оставляем на полчасика и затем кипятим  минут на медленном огне  добавляем хмель и варим еще  минут    когда настой остынет  мы еще раз его процеживаем  добавляем дрожжи и сахар  хорошенько размешиваем  ставим в прохладное место на  суток для брожения    затем разливаем пиво по бутылкам и  плотно закрыв  ставим в подвал на  недели  готово     спустя две недели можно дегустировать  удачи  
2;хрен очищаем от шкурки и нарезаем довольно крупной соломкой  то же самое делаем и с имбирем  только его режем на более мелкие кусочки  кладем в банку хрен  имбирь  немного гвоздики и перца горошком  гвоздику и перец можно и не класть  они в хреновухе не обязательны   но мне так больше нравится  заливаем в банки водку  заливаем не всю   где то  граммов оставляем  она нам еще пригодится  закрываем банку и ставим в сухое прохладное темное место  например  в кладовку или шкаф  через  дней достаем банку из кладовки  если настаивать дольше  то напиток может получиться слишком крепким    процеживаем получившуюся хреновуху  чтобы очистить ее от всего  что мы в нее добавляли  переливаем в чистую баночку  наливаем стакан хреновухи  размешиваем в ней наш мед  и наливаем обратно в банку  заливаем оставшимися  мл водки  вновь закрываем и оставляем еще на  день  после чего разливаем по бутылкам и пьем    
3;смородину переберем   выкинем все листья  веточки и посторонний мусор  мыть ягоды не нужно   на их поверхности находятся дрожжи  которые способствуют процессу брожения   приготовим мезгу  сложим ягоды в кастрюлю и разомнем любым удобным способом  добавим литр воды  перемешаем и оставим на  суток  периодически будем помешивать мезгу  спустя указанное время процедим мезгу через сито или марлю  добавим еще  литр воды  перемешаем  перельем в чистые сухие бутыли  добавляем сахар  на каждую наденем перчатку с проколотым пальцем и поставим в прохладное темное место на полтора месяца   готовое вино снять с осадка  разлить по небольшим бутылям  плотно закупорить и хранить в погребе    
4;  подготовить все ингредиенты  промыть и обсушить клубнику  оторвать плодоножки    засыпать клубнику вместе с сахаром в блендер и измельчить    добавить размягченное мороженое     влить молоко    взбить коктейль миксером до получения пенки на поверхности  разлить по бокалам и подавать   
5;начну с пары слов об ингредиентах  молоко должно быть нежирным  водка   действительно хорошей  вместо лимона можно использовать апельсин  но лично мне больше нравится версия с лимоном  просто напросто смешиваем все наши ингредиенты в баночке или другой стеклянной емкости  лимон  или апельсин  нарезать крупными кусками и бросить туда же  закрываем крышкой и оставляем на  дней в сухом прохладном месте  ежедневно стеклянную емкость необходимо взбалтывать   через  дней откупориваем нашу емкость и пропускаем ликер через марлю  чем больше раз пропустите через марлю   тем чище будет ваш ликер  как минимум   раза обязательно нужно процедить через марлю  чтобы напиток получился достойным  все  ликер готов  его можно наливать в красивую бутылочку и подавать на стол охлажденным   
6;домашнее осетинское пиво готовится так    ячмень и пшеницу залить водой и оставить на сутки    воду слить  зерно поставить в теплое место  чтоб оно проросло    зерно с ростками высушить и смолоть  получится солод    солод всыпать в большую посуду и залить теплой водой на  часа     поставить на огонь и довести до кипения  варить  часа на медленном огне    смесь процедить    кукурузную муку обжарить на сковороде  так  чтоб она стала коричневого цвета    добавить муку в смесь и варить еще  часа    котел снять с огня  охладить до  градусов перелить в большую посуду    дрожжи развести и влить в котел    укутать одеялом и дать постоять сутки для брожения    готовое пиво процедить  при желании добавить сахар  настоящее осетинское пиво варить не так уж и просто  говорят  получается оно только в осетии    если вас смущает количество ингредиентов  то пропорционально уменьшите все  удачи в приготовлении и приятного аппетита  
7;яблоки помыть и очистить от плодоножек  яблоки разложить по стерильным банкам и всыпать сахар  залить кипятком и закатываем  банки перевернуть  укутать до охлаждения  приятного аппетита  
8;подготовьте необходимые продукты  листья мяты и тархуна промойте под прохладной водой  лимон тщательно вымойте  листья мяты и тархуна засыпьте  с л  сахара и разомните толкушкой  с лимона снимите цедру  выжмите сок  залейте водой цедру  листья тархуна и мяты  добавьте сахар  доведите до кипения и проварите в течение  минут  остудите и процедите  добавьте лимонный сок  охладите в холодильнике  добавьте лед  приятного аппетита  
9;спелую и свежую черную смородину нужно хорошенько перебрать  очистить от сора и плодоножек  дважды промыть и дать обсохнуть  затем раскладываем смородину по сухим стерилизованным баночкам   заполняем смородиной примерно четверть объема банки  ягоды должны занимать около четверти объема банки   тогда компот будет сладким  но не слишком приторным  заливаем банки с ягодой кипятком  даем постоять   минут  затем сливаем воду обратно в кастрюлю и кипятим  добавив весь сахар  доводим до кипения и разливаем обратно по баночкам  сразу же закатываем баночки  на один час переворачиваем их вверх дном и укутываем в какое нибудь одеяло  а потом отправляем на хранение в любое сухое и прохладное место  
10;для начала лучше просеять крахмал  чтобы в нем не было комочков и нам потом легче было его размешать  разводим необходимое количество крахмала молоком и хорошо размешиваем  молоко доводим до кипения и добавляем сахар и ваниль  вливаем в кастрюлю с молоком тоненькой струйкой разведенный крахмал и все время помешиваем  иначе образуются сгустки  как только все закипит варим еще пару минут и снимаем с плиты  если варили густой кисель   разливаем по формочкам  
