Номер;Рецепт
1;        хлеб режем кусочками  как на бутерброды            засушиваем в духовке на максимальной температуре            очень важный момент   засушить нужно до легкого подгорания  не совсем в угли  но чернота на кусочках должна быть  это дает вкус и цвет будущему квасу            засыпаем сухри на дно большой кастрюли или ведра           в небольшом количестве воды растворяем мед            заливаем этой медовой водичкой сухие дрожжи           хорошо рамешиваем            к сухарям добавляем сахар           изюм  он придаст квасу дополнительной резкости            добавляем дрожжи с медом            заливаем теплой очищенной водой            накрываем марлей           полотенцем  полотенце нужно для защиты от мушек  выносим на балкон на солнце на  дня  в очень сильную жару может хватить и одного дня  в общем пробовать каждый день нужно  сначала квас кажется слишком сладким  но потом это сладость уходит и получается   самое оно  если на улице прохладно  то квас  увы  не получится               вот почти готовый квас            снимаем верхние  целые  кусочки хлеба  складываем в литровую банку и отправляем в холодильник  это закваска для следующей порции кваса            квас процеживаем через марлю  разливаем в пластиковые бутылки или в стеклянные банки  выходит в среднем около  литров кваса            и отправляем на сутки в холодильник  за это время осядет осадок  квас дозреет и приобретет резкость  вообще в стеклянных банках выходит вкуснее  чем в пластике  но на три банки не всегда найдется места в холодильнике             в следующий раз уже дрожжи не нужны  высыпаем закваску на дно кастрюли             засыпаем сухари и дальше все по тексту              ну что может быть лучше в жаркий день  чем бокальчик холодного домашнего кваса   приятного отдыха     и закваска для этого кваса  делаю такой квас уже больше  лет  сначала закваску мне давала свекровь она же мне и рассказала как делает квас сама  но я опытным путем вывела для себя немного другие пропорции и технологию  и квас стал выходить вкуснее  чем у нее  и уже свекровь у меня училась его делать  а потом я и закваску делать приспособилась    квас выходит в меру сладким и похожим на тот бочковой квас  который продавали при союзе  сейчас покупной квас я пить вообще не могу  какой то он слишком сладкий и ненастоящий    кстати  для тех кто следит за фигурой  калорийность такого кваса примерно  ккал на  гр  так  что   стакана в день   вполне можно себе позволить  ну а взять бутылочку на пикник   сам бог велел   
2;        ну что  поехали       вот продукты  которые нам понадобятся            и сахар  воду фотографировать не стала                апельсины тщательно вымыть и обдать кипятком  потом нарезать на небольшие кусочки  чтобы легче было измельчать            измельчить мясорубкой или блендером  добавить  литра холодной кипяченой воды  перемешать и оставить минут на   потом процедить сначала через сито  а потом через марлю в   слоев            готово            добавить  кг сахара и г лимонной кислоты  перемешать  добавить  литров холодной кипяченой воды  перемешать и разлить по бутылкам  через часик можно пить        в начале марта я во второй раз стала мамой  и кроме любимого  поварнка   я зарегистрировалась на нескольких  мамских   сайтах  кулинарные рубрики я  конечно же  нахожу и там  рецепт этого напитка родом из  страны мам   автор   никиша  рецепты напитков из апельсина  конечно же  есть на сайте  но    этот гораздо проще готовится и никакой химии  кроме лимонной кислоты  и термической обработки  я не люблю магазинный апельсиновый сок  но этот напиток пью с удовольствием  из  апельсинов получается  литров  и бонус   апельсиновый джем   
3;        фрукты нужно помыть очень тщательно  так как будем использовать цедру     итак  с лимона ножом или теркой тоненько тоненько снимаем цедру  нам нужна только желтая часть  следите  чтобы беленькой части лимона к нам в  фанту  не попало  иначе горчить будет  а белую часть просто снимите с лимона  или срежьте      из оставшегося лимона выдавите сок  я  например  полностью в блендере его перекручиваю  косточки предварительно убираю             тот же процесс повторяем с апельсинами и мандаринами  тонкая оранжевая цедра  затем выжимаем сок   на фото  как видите  апельсинка еще одета в белую кожицу   ее снимаем            в кастрюлю положите цедру с фруктов  влейте сок  всыпьте сахар            залейте кипятком и прокипятите буквально  минуту  остудите и отправьте кастрюльку с нашей смесью в холодильник на часов   пусть настаивается и проявляется потрясающе апельсиново лимонный ароматный вкус            процедите наш сироп  смешайте с газировкой   и можно пить  я смешиваю в пропорции    можно смешать сразу все в бутылку  а можно порционно смешивать непосредственно перед подачей     иногда так хочется выпить сладкой газировки  но как представишь  какие туда консерванты кладут  выход есть  приготовить самому  к тому же процесс приготовления очень прост  и можно даже детям давать  предлагаю вашему вниманию рецепт  фанты   вкус которой точь в точь  как у магазинной  налила стаканчик подружке и спросила  как ей на вкус  ее ответ   ну   фанта   и что   каково было ее удивление  когда она узнала  что  фанта  была приготовлена в домашних условиях   
4;        закваска   ржаную муку смешать с дрожжами и сахаром             влить теплую воду  перемешать    прикрыть марлей или кусочком ткани и отставить в сторонку для вызревания   часов на    я оставляю на кухонном столе    стоит учесть  что в период брожения закваска ведет себя довольно активно  поэтому нужно взять объемную посуду  чтобы закваске было куда  расти   я делаю закваску в литровой банке            показываю наглядно  начальное состояние закваски              уже через  час             готовая закваска хранится в холодильнике в плотно закрытой посуде  банке или контейнере   чтобы приготовить квас  достаточно просто достать ее  взять необходимое количество и убрать обратно в холодильник   а  кормить  закваску нужно квасным осадком  об этом чуть позже              квас   в трехлитровую банку положить сухари  из какого хлеба у вас будут сухари  совершенно не принципиально  ржаные придадут напитку насыщенный цвет и характерную кислинку  с сухарями из белого хлеба квас получится более светлым и по вкусу будет чуть мягче  но хорошо будет в любом случае              залить сухари кипятком и остудить до комнатной температуры            добавить закваску и сахар  степень сладости вы можете регулировать сами     перемешать             накрыть банку марлей или кусочком ткани и поставить бродить в теплое место             периодически перемешивать  как вы видите  во время процесса брожения сухари хорошо поднимаются вверх  поэтому не стоит наливать воду под самое горлышко            примерно через   часов квас уже готов  можно просто попробовать его на готовность  квас из ржаных сухарей готовится быстрее  чем из белых  да и температурные условия тоже играют не последнюю роль     итак  готовый квас процедить             квас я разливаю в пластиковые бутылки  и всегда есть в наличии  и в холодильнике хранить удобно  в каждую бутылку положить несколько изюминок  изюм придаст нужную резкость квасу             плотно закрыть бутылки и поставить их в холодильник на сутки двое  за это время квас еще настоится  приобретет необходимую резкость и станет прозрачным  отстоится    из данного количества ингредиентов получается   литра кваса            а этим квасным осадком  который образуется в бутылках с уже процеженным и отстоянным напитком  мы и будем  кормить  закваску             нужно просто вылить его в емкость  в которой хранится закваска  при последующем использовании слить лишнюю жидкость  перемешать содержимое емкости и добавить закваску в новый напиток    чтобы было совсем все понятно  рассказываю свой алгоритм действий  вечером ставлю закваску  на следующий день утром готовлю квас  весь день он стоит  периодически перемешиваю   ближе к ночи или на следующее утро разливаю напиток по бутылкам  ставлю в холодильник  через сутки пробую  если мне кажется недостаточно резкости в напитке  то оставляю квас в холодильнике еще на сутки    а это моя долгожительница  приготовила ее еще в конце февраля    кстати  данную закваску можно использовать и для выпечки хлеба     написано очень много    но на самом деле все настолько просто  что стоит приготовить квас один раз и рецепт будете помнить наизусть      пользуюсь этим рецептом уже и не помню сколько лет  по моему  это было единственное  что я умела готовить  выходя замуж    квас получается отменный  скажу я вам  освежающий  ядреный  резкий  и жажду утолит  и станет основой для вкуснейшей окрошки  готовится квас на закваске  которая храниться может вечно  из года в год я делаю закваску в марте и до ноября  а то и дольше   в доме постоянно есть вкусный домашний квас  если интересно  заходите   
5;        для приготовления кваса подготовим такие продукты  вскипятим  и охладим  литра воды до тёплого состояния             в ёмкость соответствующего размера засыпаем сахар  кофе и   дрожжи            выливаем остывшую воду и яблочный сок  хорошенько перемешиваем  до растворения всех ингредиентов            накрываем кастрюлю крышкой  оставив отверстие и оставляем квас  для брожения при комнатной температуре на  часов            вот так выглядит квас на следующий день  процеживаем его через  плотную ткань и ставим в холодильник            охлажденный  он такой вкусный  как из нашего детства            угощайтесь  пожалуйста     напиток со вкусом нашего детства  помните  когда в летний зной  в пору нашей молодости у бочек с квасом выстраивалась длинная очередь и вы с нетерпением ждали пока в руках у вас окажется  заветный стаканчик кваса    холодный  играющий пузырьками и   пахнущий хлебом  рецепт этого напитка показался мне самым  приближенным к тому  который нам знаком  спасибо автору   терезе   
6;        сварите крепкий кофе  для этого  налейте в турку  мл воды комнатной температуры  добавьте щепотку соли и две чайные ложки с горкой молотого кофе  перемешайте и поставьте турку на самый маленький огонь  держите турку с кофе на огне до тех пор  пока на поверхности не начнёт образовываться кофейная пенная шапка    снимите кофе с огня  дождитесь  пока пенка осядет  снова верните кофе на огонь  повторите эту процедуру дважды  затем отставьте турку в сторону  добавьте в неё одну чайную ложку холодной воды и накройте турку блюдцем  через минуту кофе готов  этот нехитрый приём способствует тому  что кофейная гуща полностью осядет             сливки в количестве  мл перелейте в ёмкость  подходящую для взбивания  и прогрейте до горячего состояния  не доводя до кипения  это можно сделать в микроволновке  либо на плите  подготовьте сливочный сыр и кофе    используйте для приготовления этого кофе сливочный плавленный сыр в ванночках или мягкие плавленные сыры  в зависимости от региона  в котором вы проживаете  такие сорта  как  янтарь    хохланд    виола    дружба    весёлая коровка  и подобные им сыры   отлично подойдут     творожные сыры    филадельфия    маскарпоне  и зернёный творог   не подходят  имейте это ввиду            в горячие сливки добавьте половину чайной ложки сахарной пудры   г сливочного сыра и горячий свежесваренный кофе     пятьдесят грамм сыра   это полная с верхом столовая ложка            взбейте напиток при помощи погружного блендера в течение десяти секунд на больших оборотах             сырный кофе готов  вязкий  тягучий  словно соткан из сотен тысяч пузырьков  шелковистый и обволакивающий  как атлас  сытный и очень вкусный     а ещё этот кофе похож на подтаявшее мороженое  прошу на дегустацию   если вы привыкли пить кофе без сахара  можете не класть его вовсе  но я всё же посоветовала бы добавить сахар  буквально на кончике чайной ложки  чтобы полностью раскрыть вкусовой оттенок напитка  попробуйте соблюсти данные пропорции и вы останетесь довольны результатом             разлейте кофе в прогретые чашки и угощайте своих любимых    приятного дня и хорошего настроения вам и вашим близким      этот удивительный сырный кофе  по словам автора рецепта  можно отведать во львовских кофейнях  по праву славящихся своим гостеприимством и широким ассортиментом кондитерских изделий  сливочный  насыщенный  утончённый  он покорит вас своим ароматом и окутает шлейфом загадочности  не лишайте себя радости волшебства  подарите минуты блаженства  приготовив этот элегантный кофейный напиток  с благодарностью за рецепт    
7;        сначала мы приготовим концентрат для нашего напитка  нам понадобятся все ингредиенты  кроме воды  апельсин нужно тщательно вымыть  важно  он должен быть тонкокорым  тонкокорые апельсины более сочные и более ароматные  и у них внутри меньше рыхлого белого слоя под коркой  альбедо             высыпаем в удобный кувшин сахар и лимонную кислоту  обрезаем у апельсина верхушку и донышко и нарезаем его кусочками  красота кусочков не важна  наличие косточек  в принципе  тоже            самый длительный шаг приготовления напитка  все это необходимо измельчить погружным блендером  и не просто измельчить  а как можно мельче  в единую густую массу  чтобы блендеру легче было справиться с задачей   добавьте немного воды            пока вы будете всё это измельчать   успеют раствориться сахар и лимонная кислота  итог   вкуснючий и ароматный концентрат  дальше действуем как угодно  можно оставить в виде концентрата  можно вылить в  х литровую банку и долить доверху холодной водой  лично я делю порцию пополам и выливаю через воронку в  пластиковые бутылки  которые потом доливаю водой и убираю в холодильник  кстати  концентратом вкусно пропитывать коржи  кислоту и сахар можете редактировать под себя     подобных напитков на сайте несколько  один даже есть в моем дневнике  но я уверена  что приживётся у вас именно этот вариант  потому что он самый бюджетный  самый быстрый  самый эргономичный    энергетические и денежные затраты на приготовление минимальны  так как за  минут вы легко приготовите из  апельсина  литра вкусного напитка  который обязательно понравится всей семье  плюс бонус   вариант с гвоздикой   
8;        лимоны   это основа нашего будущего ликера  от их качества зависит качество напитка  лучше подбирать желтые  спелые  душистые  тонкокожие  одинакового размера             промытые водой лимоны обсушить  остро отточенным ножом снять цедру             лимоны разрезать пополам и выжать сок             в стеклянную бутыль помещаем цедру  сок и спирт  оставляем бутыль настаиваться в прохладном темном помещении на  дней            по истечении  дней содержимое бутыли фильтруем через чистую хлопчатобумажную салфетку    из воды и сахара варим сироп  остужаем             соединяем сироп с отфильтрованным лимонным экстрактом  при этом наблюдаем за изменением цвета жидкости  она из ярко желтой прозрачной превращается в опаловую             готовую смесь разливаем по бутылкам  смесь станет ликером еще минимум через   дней    готовый ликер  около  градусов  знатоки советуют перед подачей на стол очень хорошо охладить в морозильной камере и подавать в качестве аперитива или дижестива  можно с добавлением льда    приятного ликеропития      приглашаю приготовить в домашних условиях один из самых популярных в италии ликеров   лимончелло    характерный цвет  запах  вкус  на мой взгляд  лучше чем итальянцам  выжать лимон не удалось никому   
9;        хлебушек режем и зажариваем в духовке до золотистого цвета  если хотите придать квасу горчинку  значит зажариваем больше     высыпаем все в кастрюльку           заливаем сухарики  литрами кипятка  закрываем крышкой и оставляем до остывания           застилаем дуршлаг марлечкой и сцеживаем сухари    жидкость пока отставляем  а сухари снова заливаем  литрами кипятка и оставляем на часик           снова сцеживаем сухари через марлю  всю жидкость сливаем в одну емкость  я использую  литровую банку   добавляем  г сахара   г дрожжей  перемешиваем и оставляем при комнатной температуре часов на   на ночь    можно добавить пару кружочков лимона и листочков черной смородины            вот что у нас получилось  квас готов    разливаем его по бутылкам и храним в прохладном месте    ура   наконец то наступила теплая весна  почти что лето  и сразу захотелось пить  предлагаю отметить наступление весны квасом настоящим  хлебным   похожий квас раньше из бочек на улице за  копейки продавали   все из натурпродуктов   
10; вкусно обалденно  а уж если подать его в бутылочке из под     то подмену никто и не заметит  попробуйте     
