Номер;Рецепт
1;ингредиенты  роза  лимонная кислота  сахар и вода  собираем розу в фазу полного цветения  рано утром  лепестки плотно помещаем в  мл банку  примерный вес  г  готовим сироп в  литре горячей воды  сахара потребуется   л банка  перекладываем розу в банку   литра   засыпаем  ст  л  лимонной кислоты  наливаем сироп  доводим до уровня жидкости  недоливая  см до горлышка бутыля  ставим на брожение  периодически перемешиваем  под бутыль кладём тарелку для выливающейся жидкости  через месяц переливаем жидкость в бутыль  можно ещё выдержать пару месяцев в прохладном помещении  вино несколько посветлеет  на здоровье  
2;для приготовления кваса из бузины нам понадобится вода  лимон  сахар  лимонная кислота  цветы бузины  соединить воду и сахар  довести до кипения и проварить  минуту  охладить  добавить лимонную кислоту  в холодный сироп опустить цветы бузины  добавить порезанный лимон  накрыть крышкой и поставить в тёмное место на  дней  каждый день перемешивать  на шестой день квас процедить и разлить по бутылкам  поставить в холодное место  квас из цветов бузины готов  
3;для работы нам понадобится растворимый кофе  вода  сахар  в глубокой посуде соединить  мл воды и  столовую ложку растворимого кофе  по весу у меня получилось   грамм кофе  взбивать миксером   секунд до образования пены  пена не должна быть слишком стойкой  в  приёма  не прекращая взбивание  добавить  грамм сахара  взбивать   минуты до образования стойкой пены  взбитый кофе готов к подаче  
4;для приготовления завтрака нам понадобится всего лишь  ингредиента  это гречневая крупа и кефир  начните приготовление с вечера   столовых ложки гречневой крупы переберите и хорошо промойте под проточной водой  откиньте на сито и дайте стечь всей жидкости  выложите гречку в подходящую тару  это может быть банка  пищевой контейнер или любая удобная посуда с крышкой  налейте  мл кефира      закройте банку крышкой и уберите в холодильник на ночь  утром достаньте банку с гречкой и добавьте оставшиеся  мл кефира  по желаю можно подать со свежими ягодами и чайной ложечкой мёда  приятного аппетита  
5;для приготовления ликёра из розы нам понадобится сахар  лепестки чайной розы  лимонная кислота  вода  спирт  оборвать лепестки  отделив листья  чашелистки  выложить подготовленные лепестки в глубокую кастрюлю  воду   литра  довести до кипения  добавить лимонную кислоту и кипящей смесью залить лепестки  все лепестки должны обвариться  закрыть крышкой и оставить до полного остывания  после остывания поставить в холодильник на  суток  по истечению этого времени лепестки хорошо отжать  а настой процедить  сварить сироп из сахара и воды   мл   влить сироп в розовый настой  добавить спирт  разлить в бутылки и оставить в тёмном месте на   недели  ликёр из розы готов  
6;чтобы сделать домашний лимонад из лимонов  берём  лимона  небольшой пучок мяты и полстакана сахара  это количество продуктов на объём воды  литра  лимоны хорошо помыть и снять с них цедру  затем удалить с лимонов белую кожуру  а мякоть порезать и хорошо подавить  чтобы извлечь максимальное количество лимонного сока    воду в кастрюле объёмом  литра довести до кипения  добавить цедру  лимоны с соком  сахар и мяту  мяту помыть и порвать   варить   минуты  затем снять с огня и остудить  готовый напиток процедить  подавать с кубиками льда и веточкой мяты  
7;для работы нам понадобятся апельсины  лимон  сахар  вода   апельсина и  лимон тщательно промыть в горячей воде жёсткой губкой  протереть насухо  острым ножом срезать тонкий верхний слой цедры  не зацепляя нижний белый слой  отжать из апельсинов и лимона сок  в кастрюле соединить   литра воды  срезанную цедру  довести до кипения  а затем убавить огонь до минимального и варить под крышкой  минут  вынуть цедру  а в отвар добавить  граммов сахара  проварить ещё   минуты  снять с огня  на этой стадии в кастрюлю можно дополнительно выложить несколько тонких кружочков апельсина и лимона  накрыть крышкой  охладить  в конце влить в кастрюлю отжатый сок апельсинов и лимонов  лимонад из апельсинов и лимонов готов  
8;пропорция для молочного коктейля довольна условна  сахарную пудру добавляйте в том случае  если клубника кисловата  клубнику хорошо помыть  удалить хвостики  выложить в блендер мороженое  молоко и клубнику  всё взбить до однородного состояния  из указанной порции получается  стакана по  мл  
9;для приготовления лимонада нам понадобится клубника  мята  сахар  вода  лимон  клубнику помыть  очистить   грамм клубники поместить в кухонный комбайн и измельчить  в кастрюлю поместить измельчённую и целую клубнику  добавить половину тонко порезанного лимона и мяту  связанную в пучок  залить всё  мл кипятка  накрыть крышкой и оставить для настаивания на  минут  мяту вытянуть  добавить сахар  сок половины лимона  размешать до растворения сахара  добавить остальную холодную воду  поставить лимонад в холодильник на   часа  домашний клубничный лимонад с мятой готов  подавать со льдом  
10;для приготовления классического домашнего лимонада нам понадобятся  лимона   грамм сахара и  литр воды  обратите внимание  лимонов необходимо столько  чтобы получить  мл сока  сперва нам необходимо приготовить сироп  для этого возьмём цедру  лимона   мл воды и весь сахар   г   варить сироп нужно на среднем огне   минут  обязательное условие  сахар должен полностью раствориться  процеживаем наш сироп от цедры лимона через сито и даём ему остыть  выжимаем сок лимона  это можно делать как руками  так и с помощью цитрусовых прессов или обычной вилкой  помните для правильной пропорции лимонада  нам необходимо получить  мл лимонного сока  процеживаем лимонный сок  если в него попадут частички мякоти  то это сделает лимонад только более вкусным  основная задача  избавиться от косточек  смешиваем все наши ингредиенты в остывшем виде   мл сиропа   мл сока и  мл воды  это и будет наш вкуснейший домашний лимонад  подавать лимонад стоит сильно остуженным или же с кубиками льда  украсить стакан можно долькой лимона и веточкой мяты  
11;для приготовления мохито нам понадобится мята  тростниковый сахар  лимон и лайм  золотой ром  спрайт и дроблёный лёд  в бокал хайбол положить   листиков мяты и подавить их мадлером так  чтобы мята пустила сок  но листья остались целыми  сверху мяты всыпать   чайные ложки тростникового сахара  далее необходимо выдавить в бокал сок половинки лимона и убрать косточки  если такие имеются  отрезаем от лайма   дольки  притом режем вдоль  кладём дольки лайма в хайбол  теперь необходимо подробить лёд  если у вас нет лёдодробилки  то можно завернуть кубики льда в полотенце и хорошенько постучать по получившемуся свёртку скалкой  доверху засыпаем бокал дроблёным льдом  гасим лёд  граммами золотого рома  и  граммами спрайта  теперь необходимо перемешать всё содержимое хайбола барной ложкой так  чтобы мята и ломтики лайма равномерно распределились в гуще льда  досыпаем бокал льдом доверху  чтобы сверху бокала образовалась горка льда  всё  ваш мохито готов  остаётся его только украсить ломтиком или колечком лайма  лимона  и веточкой мяты  
12;подготовить необходимые ингредиенты  воду  молоко и кофе  корица и шоколад в данном рецепте по желанию   заварить кофе  на  мл воды  грамм кофе  можно в турке  можно просто залив кипятком  получаем эспрессо  нагреть  мл молока  чем выше жирность  тем лучше  до    не кипятим  кастрюлю берём в   раза больше  чем самого молока   взбить горячее молоко   минуты  до устойчивой пенки   молоко увеличится в объёме в   раза  вылить эспрессо в стаканы для подачи напитка  добавить взбитое горячее молоко  если останется пенка  выложить ложкой  по желанию сверху посыпать корицей или тёртым шоколадом  я использовала настоящие палочки корицы  они легко ломаются и натираются на тёрке   подавать сразу же  ведь пенка быстро оседает   
13;всё  что нам понадобится это  кофе  сливки  мороженое и сахар для тех  кто любит послаще  я не добавляю  наливаем в стакан кофе  приготовленный по вашему любимому рецепту и привычным вам способом  это может быть эспрессо  покрепче   либо американо  больше по объёму  соответственно не такой крепкий   добавляем в кофе сливки  чтобы не дожидаться  когда кофе чуть остынет  советую хорошенько охладить сливки  на этом или предыдущем шаге добавьте сахар  если используете  ложкой для мороженого скрутите шарик и аккуратно положите его в бокал  наш кофе гляссе готов  можно чуть посыпать сверху корицей  приятного аппетита   
14;для приготовления смузи возьмём половину красного грейпфрута   сочных апельсина и   спелых сладких банана  все фрукты очистить и крупно порезать  измельчить фрукты в блендере  частями или все сразу  это зависит от мощности вашего блендера   разлить по стаканам  если напиток получился очень густым можно добавить немного сока по вкусу  и по желанию можно добавить кубики льда  
15;для приготовления этого напитка понадобится большой пучок тархуна  лимон  лайм и сахар  тархун хорошо помыть и крупно порвать  добавить полстакана кипячёной холодной воды  сок лимона и лайма и  ст  л  сахара и хорошо помять всё мадлером или измельчить зелень в блендере  затем процедить сок и хорошо отжать зелень  развести приготовленный сок холодной кипячёной водой до нужной консистенции  ориентировочно сок к воде    и если нужно  добавить сахар по вкусу  подавать напиток в стакане с кусочками льда  
16;для приготовления напитка нам потребуются лепестки чайной розы  вода  лимонная кислота  сахар  лепестки розы необходимо залить горячей кипячёной водой  добавить лимонную кислоту  по желанию можно и лимон использовать    накрыть крышкой и оставить на   часов для настаивания  по истечении времени процедить  добавить сахар  и нагреть на плите до растворения сахара  всё   божественный напиток готов  разлить по бокалам  добавить лёд для охлаждения  почувствуйте себя царской особой  
17;для приготовления наливки нужны свежая вишня и сахарный песок  дополнительно  банки по  литра каждая и перчатки медицинские  марля  лейка  тара под готовую наливку  вишню вымыть  удалить хвостики  косточки не удаляем  они дают вкус готовому напитку  банки вымыть  мысленно поделите банку на  части  в   закладываем вишню  посыпаем   ст  л  сахара  снова закладываем вишню и снова сахар  так  пока банка не заполнится на   общего объёма  на банку наденьте сложенную вчетверо марлю  закрепите её резинкой или ниткой на горле банки  оставьте банку где то в солнечном месте на   суток  я установила на подоконник на балконе  спустя  суток  удалите марлю  на горлышко банки наденьте медицинскую перчатку  у основания горлышка закрепите перчатку  скотч  нитки  резинка   но так  чтоб перчатка не порвалась  через несколько суток  от  до   перчатки поднимутся и помашут вам  где то в тёплом месте  без прямых солнечных лучей  оставьте наливку на  месяц  перчатки  периодами  будут опускаться и подниматься  спустя время  слейте наливку  потом отфильтруйте через марлю  сложенную в несколько слоёв  разлейте наливку по бутылкам  но не наполняйте бутылку под самый верх  уже в бутылке наливка будет слегка играть  через  неделю откройте крышки бутылок и выпустите воздух  снова закройте  поставьте наливку в тёмное место на  месяц  отстоявшуюся наливку можно пить  со временем она становится только вкуснее  мезгу  ягоды  не выбрасывайте  в каждую банку добавьте по  грамм сахарного песка и  стакана питьевой бутилированной воды  наденьте перчатки  повторите всё по рецепту  это будет наливка второго отжима  она по вкусу ровна первой  но имеет меньший градус  из двух сборов у меня вышло   литров готового продукта  
18;для приготовления кофе в турке с корицей понадобится кофе мелкого помола  степень обжарки выбирайте сами   сахар  корица и холодная вода  сразу оговорюсь  что я люблю довольно крепкий кофе тёмной обжарки  с лёгкой горчинкой  средней сладости  поэтому  соотношение кофе  воды и сахара регулируйте под себя  можно ещё добавить маленькую щепоточку соли по желанию  кофе насыпать в турку и поставить на минимальный огонь  немного прогреваем кофе   затем добавляем к кофе в турку сахар и молотую корицу  перемешиваем  заливаем смесь холодной водой  количество воды определяем так  берём чашку  из которой собираемся пить кофе  наливаем в неё холодную воду  далее переливаем воду в турку  соответственно  если у вас турка способна вместить  чашки и вам это нужно  то кофе  сахар  корицу и воду удваиваем  у меня довольно маленькая чашка кофею  в обычной жизни я пользуюсь чашкой   мл и соответственно кофе    чайные ложки  размешать всё ложкой  ставим турку на самый маленький огонь и  не отходя  варим кофе  кофе не должен закипеть  нужно двести лишь до того состояния  когда сверху образуется густая пенка  а по краю турки каймой начнёт пузыриться и вздыматься пена  тут же снимаем с огня и даём  минутку настояться  есть ещё вариант  когда   кофе сливается в чашку  потом турка опять ставится на огонь и опять кофе доводится почти до кипения  потом эта процедура повторяется ещё раз  якобы так пенка будет гуще  по своему опыту скажу  что разницы я не заметила  даже  на мой взгляд  пенка хуже получается  переливаем кофе в прогретую кипятком чашку  на поверхности должна получиться светлая пенка  которая в идеале будет покрывать всю поверхность  подаём сразу  доброго и бодрого утра    
19;для молочного коктейля необходимо взять молоко  классический пломбир  банан  киви и яблоко  фрукты очистить от кожуры и порезать   молоко  мороженое  порезанные яблоко  банан и киви опустить в блендер и хорошо взбить  взбивать до однородного состояния  получается   порции напитка   
20;для приготовления морса нам понадобятся  ягоды облепихи  вода  сахар и мёд  ягоду перебрать  промыть   облепиху подавить скалкой или измельчить в блендере  чтобы она пустила сок   процедить сок и поставить в холодильник   жмых залить водой и довести до кипения  оставить настаиваться  минут   затем процедить   в тёплый морс добавить сахар и мёд  и ранее выжатый сок  размешать  можно добавить только мёд или только сахар  тут дело вкуса   вкусный и полезный морс готов к употреблению  можно подавать тёплым и охлажденным  приятного аппетита  
