Таблица с 200 наиболее употребляемыми словами для сайта 1000menu
+-------------+-----+
|        value|count|
+-------------+-----+
|         вода| 1584|
|        можно| 1371|
|        банка| 1206|
|      напиток| 1186|
|         быть| 1026|
|        сахар|  925|
|         весь|  919|
|        ягода|  891|
|          сок|  861|
|     добавить|  788|
|    добавлять|  715|
|       минута|  689|
|      готовый|  659|
|        нужно|  656|
|         день|  645|
|         вино|  641|
|        огонь|  628|
|         вкус|  619|
|        место|  614|
|      ёмкость|  611|
|       крышка|  611|
|     кастрюля|  591|
|        затем|  565|
|        сироп|  556|
|приготовление|  528|
|      хороший|  512|
|       компот|  501|
|        время|  491|
|      бутылка|  460|
|          ещё|  442|
|     заливать|  438|
|     настойка|  437|
|     коктейль|  426|
|      который|  425|
|        такой|  424|
| использовать|  424|
|         один|  418|
|     брожение|  415|
|       сахара|  411|
|       рецепт|  405|
|      кипение|  398|
|         литр|  397|
|       тёмный|  396|
|       молоко|  391|
|      должный|  384|
|        марля|  378|
|       хорошо|  378|
|  температура|  374|
|   ингредиент|  363|
|        очень|  352|
| перемешивать|  350|
|       стакан|  347|
|          мёд|  341|
|        водка|  336|
|    оставлять|  332|
|          два|  331|
|     жидкость|  323|
|  приготовить|  323|
|          раз|  318|
|  подготовить|  317|
|         этот|  316|
|      течение|  314|
|      большой|  313|
|     приятный|  311|
|         кофе|  311|
|          тот|  309|
|          лёд|  306|
|      ставить|  305|
|  необходимый|  300|
|     наливать|  299|
|      блендер|  299|
|       залить|  298|
|        смесь|  295|
|     нарезать|  293|
|        лимон|  291|
|      кипяток|  290|
|     подавать|  288|
|        бокал|  288|
|    несколько|  282|
|     получить|  280|
|   количество|  278|
|       чистый|  274|
|    процедить|  274|
|  процеживать|  270|
|        чаять|  270|
|       неделя|  269|
|    поставить|  266|
|  холодильник|  263|
|       яблоко|  262|
|       варить|  261|
|       тёплый|  261|
|         мочь|  258|
|   прохладный|  257|
|   перемешать|  255|
|         слой|  253|
|      кусочек|  251|
|      немного|  247|
|   получиться|  247|
|      процесс|  245|
|        ложка|  242|
|     оставить|  239|
|         мыть|  238|
|    тщательно|  236|
|         дать|  233|
|    небольшой|  231|
|         пить|  229|
|   стеклянный|  225|
|        ликёр|  224|
|    закрывать|  224|
|     домашний|  223|
|        месяц|  220|
|        брать|  218|
|         свой|  217|
|     готовить|  217|
|     доводить|  214|
